id,year,statename,pcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
1513,2001,Tamil Nadu,TIRUCHENDUR,SADAKATHULLAH. M.N.,M,IND,93,,99957,9,0.09%,0,OTHERS
1514,2001,Tamil Nadu,TIRUCHENDUR,CHITRANATHAN.T.,M,IND,87,,99957,10,0.09%,0,OTHERS
1515,2001,Tamil Nadu,TIRUCHENGODE,PONNAIYAN.C,M,ADMK,107898,,181200,1,59.55%,1,ADMK
1516,2001,Tamil Nadu,TIRUCHENGODE,ARUMUGAM .T.P.,M,DMK,63789,,181200,2,35.20%,0,DMK
1517,2001,Tamil Nadu,TIRUCHENGODE,GURUSAMY.T.P.,M,MDMK,3687,,181200,3,2.03%,0,OTHERS
1518,2001,Tamil Nadu,TIRUCHENGODE,ARUMUGAM .S.K.,M,JD(S),1559,,181200,4,0.86%,0,OTHERS
1519,2001,Tamil Nadu,TIRUCHENGODE,VARADHARAJAN.R,M,IND,1431,,181200,5,0.79%,0,OTHERS
1520,2001,Tamil Nadu,TIRUCHENGODE,PERUMAL .C,M,IND,1025,,181200,6,0.57%,0,OTHERS
1521,2001,Tamil Nadu,TIRUCHENGODE,GOVINDRAJA .A.,M,CPI(ML)(L),532,,181200,7,0.29%,0,OTHERS
1522,2001,Tamil Nadu,TIRUCHENGODE,LINGAPPAN.V.,M,IND,416,,181200,8,0.23%,0,OTHERS
1523,2001,Tamil Nadu,TIRUCHENGODE,NANDHAKUMAR K.L.,M,IND,325,,181200,9,0.18%,0,OTHERS
1524,2001,Tamil Nadu,TIRUCHENGODE,RAJAMANICKAM T.C.,M,IND,298,,181200,10,0.16%,0,OTHERS
1525,2001,Tamil Nadu,TIRUCHENGODE,RAJENDRAN.K.M,M,IND,240,,181200,11,0.13%,0,OTHERS
1526,2001,Tamil Nadu,TIRUCHIRAPALLI-I,PARANIKUMOR. B.,M,DMK,31421,,73192,1,42.93%,1,DMK
1527,2001,Tamil Nadu,TIRUCHIRAPALLI-I,KADHER MOHIDEEN. M. ,M,MUL,30497,,73192,2,41.67%,0,ADMK
1528,2001,Tamil Nadu,TIRUCHIRAPALLI-I,MALAR MANNAN.A.,M,MDMK,9003,,73192,3,12.30%,0,OTHERS
1529,2001,Tamil Nadu,TIRUCHIRAPALLI-I,ARUMUGAM.K.C.,M,JD(U),802,,73192,4,1.10%,0,OTHERS
1530,2001,Tamil Nadu,TIRUCHIRAPALLI-I,RAJAMANI. K.,M,IND,418,,73192,5,0.57%,0,OTHERS
1531,2001,Tamil Nadu,TIRUCHIRAPALLI-I,SUBRAMANIAN. R.,M,IND,387,,73192,6,0.53%,0,OTHERS
1532,2001,Tamil Nadu,TIRUCHIRAPALLI-I,ANSARI RAJA.A.,M,IND,212,,73192,7,0.29%,0,OTHERS
1533,2001,Tamil Nadu,TIRUCHIRAPALLI-I,THENDAPANI.R.,M,IND,197,,73192,8,0.27%,0,OTHERS
1534,2001,Tamil Nadu,TIRUCHIRAPALLI-I,SELVARAJ. S.,M,IND,145,,73192,9,0.20%,0,OTHERS
1535,2001,Tamil Nadu,TIRUCHIRAPALLI-I,SYEDBASHIR AHAMED. S..G ,M,IND,110,,73192,10,0.15%,0,OTHERS
1536,2001,Tamil Nadu,TIRUCHIRAPALLI-II,ANBIL PERIASAMY,M,DMK,56598,,108715,1,52.06%,1,DMK
1537,2001,Tamil Nadu,TIRUCHIRAPALLI-II,SELVARAJ P.C.,M,INC,42654,,108715,2,39.23%,0,ADMK
1538,2001,Tamil Nadu,TIRUCHIRAPALLI-II,C. KANNAIYAN,M,MDMK,7289,,108715,3,6.70%,0,OTHERS
1539,2001,Tamil Nadu,TIRUCHIRAPALLI-II,RAMANAN .S,M,IND,789,,108715,4,0.73%,0,OTHERS
1540,2001,Tamil Nadu,TIRUCHIRAPALLI-II,VARATHARAJ .L,M,JP,510,,108715,5,0.47%,0,OTHERS
1541,2001,Tamil Nadu,TIRUCHIRAPALLI-II,MARUTHAMUTHU .T,M,GMK,508,,108715,6,0.47%,0,OTHERS
1542,2001,Tamil Nadu,TIRUCHIRAPALLI-II,SELVARAJ .A,M,IND,367,,108715,7,0.34%,0,OTHERS
1543,2001,Tamil Nadu,TIRUNELVELI,NAINAR NAGENDRAN.,M,ADMK,42765,,104492,1,40.93%,1,ADMK
1544,2001,Tamil Nadu,TIRUNELVELI,SUBRAMANIAN.A.L.,M,DMK,42043,,104492,2,40.24%,0,DMK
1545,2001,Tamil Nadu,TIRUNELVELI,SARAVANAPERUMAL.S,M,SP,11025,,104492,3,10.55%,0,OTHERS
1546,2001,Tamil Nadu,TIRUNELVELI,SHANMUGASUNDARAM.R,M,MDMK,4980,,104492,4,4.77%,0,OTHERS
1547,2001,Tamil Nadu,TIRUNELVELI,JABARULLAKHAN.P.,M,IND,1595,,104492,5,1.53%,0,OTHERS
1548,2001,Tamil Nadu,TIRUNELVELI,SANKARAPANDIAN.T.,M,CPI(ML)(L),782,,104492,6,0.75%,0,OTHERS
1549,2001,Tamil Nadu,TIRUNELVELI,RAJAPANDIAN.J,M,IND,445,,104492,7,0.43%,0,OTHERS
1550,2001,Tamil Nadu,TIRUNELVELI,VELU.A,M,IND,410,,104492,8,0.39%,0,OTHERS
1551,2001,Tamil Nadu,TIRUNELVELI,ARUMUGANAINAR.T,M,IND,229,,104492,9,0.22%,0,OTHERS
1552,2001,Tamil Nadu,TIRUNELVELI,AYYAPPAN.P,M,IND,218,,104492,10,0.21%,0,OTHERS
