id,year,statename,pcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
1637,2001,Tamil Nadu,TIRUVARUR,RENGASAMY .K.,M,CPM,57111,,122652,2,46.56%,0,ADMK
1638,2001,Tamil Nadu,TIRUVARUR,KAMALAVENDHAN. A.,M,MDMK,2846,,122652,3,2.32%,0,OTHERS
1639,2001,Tamil Nadu,TIRUVARUR,VEERASAMY .S.,M,IND,2375,,122652,4,1.94%,0,OTHERS
1640,2001,Tamil Nadu,TIRUVARUR,ULAGANATHAN .U,M,IND,1331,,122652,5,1.09%,0,OTHERS
1641,2001,Tamil Nadu,TIRUVARUR,VASUDEVAN .V,M,IND,564,,122652,6,0.46%,0,OTHERS
1642,2001,Tamil Nadu,TRIPLICANE,HUSSAIN.S.A.M.,M,DMK,34943,,70179,1,49.79%,1,DMK
1643,2001,Tamil Nadu,TRIPLICANE,RAJAKUMAR.S,M,INC,31267,,70179,2,44.55%,0,ADMK
1644,2001,Tamil Nadu,TRIPLICANE,VIJAYA DHAYANBAN,F,MDMK,2034,,70179,3,2.90%,0,OTHERS
1645,2001,Tamil Nadu,TRIPLICANE,KRISHNAPARAYANAR.MU,M,IND,405,,70179,4,0.58%,0,OTHERS
1646,2001,Tamil Nadu,TRIPLICANE,SREERAM.G,M,IND,356,,70179,5,0.51%,0,OTHERS
1647,2001,Tamil Nadu,TRIPLICANE,RANGANATHAN.V,M,IND,211,,70179,6,0.30%,0,OTHERS
1648,2001,Tamil Nadu,TRIPLICANE,VENKATESH.G.R.,M,IND,185,,70179,7,0.26%,0,OTHERS
1649,2001,Tamil Nadu,TRIPLICANE,NOOR MOHAMED.A,M,SP,156,,70179,8,0.22%,0,OTHERS
1650,2001,Tamil Nadu,TRIPLICANE,DHARMALINGAM.N.M,M,TYMK,141,,70179,9,0.20%,0,OTHERS
1651,2001,Tamil Nadu,TRIPLICANE,MARAGATHA VALLI.G,F,IND,131,,70179,10,0.19%,0,OTHERS
1652,2001,Tamil Nadu,TRIPLICANE,SIVAGNANASAMBANDAN.T,M,RJD,96,,70179,11,0.14%,0,OTHERS
1653,2001,Tamil Nadu,TRIPLICANE,GOPINATH.R,M,IND,87,,70179,12,0.12%,0,OTHERS
1654,2001,Tamil Nadu,TRIPLICANE,SURESH .V,M,IND,69,,70179,13,0.10%,0,OTHERS
1655,2001,Tamil Nadu,TRIPLICANE,PANNEER SELVAM.S,M,IND,53,,70179,14,0.08%,0,OTHERS
1656,2001,Tamil Nadu,TRIPLICANE,MOHAN.D,M,IND,45,,70179,15,0.06%,0,OTHERS
1657,2001,Tamil Nadu,TUTICORIN,RAJAMMAL.S,F,ADMK,73286,,142582,1,51.40%,1,ADMK
1658,2001,Tamil Nadu,TUTICORIN,PERIASAMY.N,M,DMK,57100,,142582,2,40.05%,0,DMK
1659,2001,Tamil Nadu,TUTICORIN,PARTHIBAN .R.R,M,MDMK,7695,,142582,3,5.40%,0,OTHERS
1660,2001,Tamil Nadu,TUTICORIN,PANNEER SELVAM.G,M,IND,1496,,142582,4,1.05%,0,OTHERS
1661,2001,Tamil Nadu,TUTICORIN,GOVINDASAMY.P,M,SP,1004,,142582,5,0.70%,0,OTHERS
1662,2001,Tamil Nadu,TUTICORIN,JEYAMAL ARPUTHARAJ.B,F,IND,548,,142582,6,0.38%,0,OTHERS
1663,2001,Tamil Nadu,TUTICORIN,ANTONY ANDREWS .S,M,BSP,540,,142582,7,0.38%,0,OTHERS
1664,2001,Tamil Nadu,TUTICORIN,ROOBASINGH.C.S,M,IND,249,,142582,8,0.17%,0,OTHERS
1665,2001,Tamil Nadu,TUTICORIN,MUTHUKUMAR.M,M,IND,248,,142582,9,0.17%,0,OTHERS
1666,2001,Tamil Nadu,TUTICORIN,MURUGAN.A,M,IND,167,,142582,10,0.12%,0,OTHERS
1667,2001,Tamil Nadu,TUTICORIN,KUMAR.V,M,IND,125,,142582,11,0.09%,0,OTHERS
1668,2001,Tamil Nadu,TUTICORIN,CHINNAMANI NADAR.A.J,M,IND,124,,142582,12,0.09%,0,OTHERS
1669,2001,Tamil Nadu,UDUMALPET,SHANMUGAVELU.C,M,ADMK,78938,,138676,1,56.92%,1,ADMK
1670,2001,Tamil Nadu,UDUMALPET,SELVARAJ. D.,M,DMK,39030,,138676,2,28.14%,0,DMK
1671,2001,Tamil Nadu,UDUMALPET,MARIAPPAN. R.T.,M,MDMK,16884,,138676,3,12.18%,0,OTHERS
1672,2001,Tamil Nadu,UDUMALPET,THANGAVEL.M.,M,IND,2070,,138676,4,1.49%,0,OTHERS
1673,2001,Tamil Nadu,UDUMALPET,SAMINATHAN. M.,M,IND,1067,,138676,5,0.77%,0,OTHERS
1674,2001,Tamil Nadu,UDUMALPET,SUBRAMANIAM. P.,M,IND,687,,138676,6,0.50%,0,OTHERS
1675,2001,Tamil Nadu,ULUNDURPET (SC),RAMU.N.,M,ADMK,73384,,133213,1,55.09%,1,ADMK
1676,2001,Tamil Nadu,ULUNDURPET (SC),THIRUNAVUKKARASU.K.,M,DMK,50630,,133213,2,38.01%,0,DMK
1677,2001,Tamil Nadu,ULUNDURPET (SC),ANGAMUTHU.K.,M,MDMK,9199,,133213,3,6.91%,0,OTHERS
1678,2001,Tamil Nadu,UPPILIAPURAM,SAROJAA R.,F,ADMK,58810,,116517,1,50.47%,1,ADMK
1679,2001,Tamil Nadu,UPPILIAPURAM,RANI .R,F,DMK,46459,,116517,2,39.87%,0,DMK
1680,2001,Tamil Nadu,UPPILIAPURAM,RAVI .P,M,IND,5745,,116517,3,4.93%,0,OTHERS
1681,2001,Tamil Nadu,UPPILIAPURAM,E. RAJENDRAN .PON.,M,MDMK,5503,,116517,4,4.72%,0,OTHERS
1682,2001,Tamil Nadu,USILAMPATTI,SANTHANAM.L,M,FBL,39248,,90594,1,43.32%,1,ADMK
1683,2001,Tamil Nadu,USILAMPATTI,RAMASAMY.S.O,M,DMK,30181,,90594,2,33.31%,0,DMK
1684,2001,Tamil Nadu,USILAMPATTI,KATHIRAVAN.P.V,M,IND,9834,,90594,3,10.86%,0,OTHERS
1685,2001,Tamil Nadu,USILAMPATTI,MURUGAN.A,M,JP,7455,,90594,4,8.23%,0,OTHERS
1686,2001,Tamil Nadu,USILAMPATTI,RATHINAM.T.K.P,M,MDMK,1386,,90594,5,1.53%,0,OTHERS
1687,2001,Tamil Nadu,USILAMPATTI,RAJESWARI KASINATHAN.P.K.M TMT. ,F,IND,1023,,90594,6,1.13%,0,OTHERS
1688,2001,Tamil Nadu,USILAMPATTI,THINAGARAN ALIAS DURAISINGAM .N,M,IND,705,,90594,7,0.78%,0,OTHERS
1689,2001,Tamil Nadu,USILAMPATTI,SUBRAMANIAN.A,M,IND,455,,90594,8,0.50%,0,OTHERS
1690,2001,Tamil Nadu,USILAMPATTI,GANESAN.P.K.M,M,IND,307,,90594,9,0.34%,0,OTHERS
1691,2001,Tamil Nadu,UTHIRAMERUR,SOMASUNDARAM. V,M,ADMK,73824,,130716,1,56.48%,1,ADMK
1692,2001,Tamil Nadu,UTHIRAMERUR,SUNDAR. K,M,DMK,46202,,130716,2,35.35%,0,DMK
1693,2001,Tamil Nadu,UTHIRAMERUR,RADHA KRISHNAN..G.,M,MDMK,2668,,130716,3,2.04%,0,OTHERS
1694,2001,Tamil Nadu,UTHIRAMERUR,RAVI CHANDRAN.C,M,IND,2499,,130716,4,1.91%,0,OTHERS
1695,2001,Tamil Nadu,UTHIRAMERUR,TAMIL VENDAN .T,M,IND,2399,,130716,5,1.84%,0,OTHERS
1696,2001,Tamil Nadu,UTHIRAMERUR,PARVENDAN.D.,M,PB,1293,,130716,6,0.99%,0,OTHERS
1697,2001,Tamil Nadu,UTHIRAMERUR,MANAGA.V,F,IND,834,,130716,7,0.64%,0,OTHERS
1698,2001,Tamil Nadu,UTHIRAMERUR,AGARAM CHITHARANJAN DOSS. ,M,IND,459,,130716,8,0.35%,0,OTHERS
1699,2001,Tamil Nadu,UTHIRAMERUR,DHANA SEKARAN. M ,M,IND,323,,130716,9,0.25%,0,OTHERS
1700,2001,Tamil Nadu,UTHIRAMERUR,PANCHAKSHARAM P.,M,IND,215,,130716,10,0.16%,0,OTHERS
1701,2001,Tamil Nadu,VALANGIMAN,BOOPATHI MARIAPPAN TMT ,F,ADMK,54677,,94385,1,57.93%,1,ADMK
1702,2001,Tamil Nadu,VALANGIMAN,NADAIYAZHAGAN .T,M,PT,31200,,94385,2,33.06%,0,DMK
1703,2001,Tamil Nadu,VALANGIMAN,THIAGARAJAN .M,M,MDMK,3298,,94385,3,3.49%,0,OTHERS
1704,2001,Tamil Nadu,VALANGIMAN,GOMATHI SRINIVASAN,F,IND,1813,,94385,4,1.92%,0,OTHERS
1705,2001,Tamil Nadu,VALANGIMAN,G. MARIMUTHU,M,IND,1412,,94385,5,1.50%,0,OTHERS
1706,2001,Tamil Nadu,VALANGIMAN,S. PRABAKARAN,M,IND,1060,,94385,6,1.12%,0,OTHERS
1707,2001,Tamil Nadu,VALANGIMAN,KASTHURI.S,F,IND,925,,94385,7,0.98%,0,OTHERS
1708,2001,Tamil Nadu,VALPARAI,KOVAI THANGAM.,M,TMC(M),47428,,89131,1,53.21%,1,ADMK
1709,2001,Tamil Nadu,VALPARAI,KRISHNASWAMY . DR. K.,M,PT,29513,,89131,2,33.11%,0,DMK
1710,2001,Tamil Nadu,VALPARAI,CHINNASWAMI. R.,M,MDMK,7626,,89131,3,8.56%,0,OTHERS
1711,2001,Tamil Nadu,VALPARAI,MANOHARAN. S.,M,IND,1425,,89131,4,1.60%,0,OTHERS
1712,2001,Tamil Nadu,VALPARAI,RAVICHANDRAN.S.,M,IND,1223,,89131,5,1.37%,0,OTHERS
1713,2001,Tamil Nadu,VALPARAI,KANAGARAJ. K.,M,IND,708,,89131,6,0.79%,0,OTHERS
1714,2001,Tamil Nadu,VALPARAI,PUKALENDHI .K.,M,NCP,613,,89131,7,0.69%,0,OTHERS
1715,2001,Tamil Nadu,VALPARAI,THANGAVELU .V.,M,IND,406,,89131,8,0.46%,0,OTHERS
1716,2001,Tamil Nadu,VALPARAI,SUBARAMANI. M.,M,IND,189,,89131,9,0.21%,0,OTHERS
1717,2001,Tamil Nadu,VANDAVASI (SC),MURUGAVELRAJAN.K,M,PMK,55773,,113490,1,49.14%,1,ADMK
1718,2001,Tamil Nadu,VANDAVASI (SC),LOGANATHAN .K.,M,DMK,46902,,113490,2,41.33%,0,DMK
1719,2001,Tamil Nadu,VANDAVASI (SC),JAYAVINDHIYARAJ. N.K.,M,IND,3822,,113490,3,3.37%,0,OTHERS
1720,2001,Tamil Nadu,VANDAVASI (SC),RAJAGOPAL.V,M,MDMK,2832,,113490,4,2.50%,0,OTHERS
1721,2001,Tamil Nadu,VANDAVASI (SC),LAKSHMANAN.P.,M,IND,1790,,113490,5,1.58%,0,OTHERS
1722,2001,Tamil Nadu,VANDAVASI (SC),ANBUMANI R.,M,IND,998,,113490,6,0.88%,0,OTHERS
1723,2001,Tamil Nadu,VANDAVASI (SC),SIVAKUMAR.G.,M,IND,863,,113490,7,0.76%,0,OTHERS
1724,2001,Tamil Nadu,VANDAVASI (SC),GOVINDAN R.M.,M,IND,510,,113490,8,0.45%,0,OTHERS
1725,2001,Tamil Nadu,VANIAYAMBADI,ABDUL LATHEEF. M. ,M,IND,54218,,112346,1,48.26%,1,ADMK
1726,2001,Tamil Nadu,VANIAYAMBADI,HAROON RASHEED. J.M. ,M,DMK,42280,,112346,2,37.63%,0,DMK
1727,2001,Tamil Nadu,VANIAYAMBADI,LAKSHMI KANTHAN.R.,M,MDMK,7724,,112346,3,6.88%,0,OTHERS
1728,2001,Tamil Nadu,VANIAYAMBADI,KALEEL NISAR AHMED,M,IND,3095,,112346,4,2.75%,0,OTHERS
1729,2001,Tamil Nadu,VANIAYAMBADI,NATARAJAN.M.P.,M,IND,2268,,112346,5,2.02%,0,OTHERS
1730,2001,Tamil Nadu,VANIAYAMBADI,SENGAM JAFFAR,M,IND,1093,,112346,6,0.97%,0,OTHERS
1731,2001,Tamil Nadu,VANIAYAMBADI,PARTHIBAN. J.,M,LJNSP,859,,112346,7,0.76%,0,OTHERS
1732,2001,Tamil Nadu,VANIAYAMBADI,KAKA IQBAL AHMED,M,IND,443,,112346,8,0.39%,0,OTHERS
1733,2001,Tamil Nadu,VANIAYAMBADI,IQBAL.G.S.,M,SAP,366,,112346,9,0.33%,0,OTHERS
1734,2001,Tamil Nadu,VANUR (SC),GANAPATHY N.,M,ADMK,68421,,122958,1,55.65%,1,ADMK
1735,2001,Tamil Nadu,VANUR (SC),MYDILI R.,F,DMK,47072,,122958,2,38.28%,0,DMK
1736,2001,Tamil Nadu,VANUR (SC),VELAYUDHAM.P.S,M,MDMK,2986,,122958,3,2.43%,0,OTHERS
1737,2001,Tamil Nadu,VANUR (SC),JAYARAMAN.R,M,IND,2410,,122958,4,1.96%,0,OTHERS
1738,2001,Tamil Nadu,VANUR (SC),LAKSHMI KANTHAN .A..,M,IND,951,,122958,5,0.77%,0,OTHERS
1739,2001,Tamil Nadu,VANUR (SC),AYYAPPAN.V,M,IND,263,,122958,6,0.21%,0,OTHERS
1740,2001,Tamil Nadu,VANUR (SC),RAMADHAS.K.,M,IND,263,,122958,6,0.21%,0,OTHERS
1741,2001,Tamil Nadu,VANUR (SC),KALIYAMOORTHY.K,M,IND,222,,122958,8,0.18%,0,OTHERS
1742,2001,Tamil Nadu,VANUR (SC),ARULDASS.C.,M,IND,203,,122958,9,0.17%,0,OTHERS
1743,2001,Tamil Nadu,VANUR (SC),ELUMALAI.R,M,IND,167,,122958,10,0.14%,0,OTHERS
1744,2001,Tamil Nadu,VARAHUR,ARUNACHALAM.A,M,ADMK,61064,,115731,1,52.76%,1,ADMK
1745,2001,Tamil Nadu,VARAHUR,THIRUVALLUVAN.K,M,DMK,47160,,115731,2,40.75%,0,DMK
1746,2001,Tamil Nadu,VARAHUR,PALANIMUTHU R.,M,MDMK,3278,,115731,3,2.83%,0,OTHERS
1747,2001,Tamil Nadu,VARAHUR,KALYANA SUNDARAM P ,M,JD(U),2667,,115731,4,2.30%,0,OTHERS
1748,2001,Tamil Nadu,VARAHUR,RAJENDIRAN.P,M,BSP,1562,,115731,5,1.35%,0,OTHERS
1749,2001,Tamil Nadu,VASUDEVANALLUR,EASWARAN R,M,TMC(M),48019,,102069,1,47.05%,1,ADMK
1750,2001,Tamil Nadu,VASUDEVANALLUR,THANGAPANDIAN S,M,PT,36467,,102069,2,35.73%,0,DMK
1751,2001,Tamil Nadu,VASUDEVANALLUR,GANESH KUMAR G ,M,MDMK,13742,,102069,3,13.46%,0,OTHERS
1752,2001,Tamil Nadu,VASUDEVANALLUR,DURAI RAJ S ,M,IND,2775,,102069,4,2.72%,0,OTHERS
1753,2001,Tamil Nadu,VASUDEVANALLUR,SAMUTHIRAPANDIAN T,M,IND,1066,,102069,5,1.04%,0,OTHERS
1754,2001,Tamil Nadu,VEDARANYAM,VEDARATHINAM .S.K,M,DMK,63568,,118353,1,53.71%,1,DMK
1755,2001,Tamil Nadu,VEDARANYAM,MUTHARASAN.R,M,CPI,48568,,118353,2,41.04%,0,ADMK
1756,2001,Tamil Nadu,VEDARANYAM,ILANGOVAN N.,M,MDMK,3678,,118353,3,3.11%,0,OTHERS
1757,2001,Tamil Nadu,VEDARANYAM,RAMAMURTHY.R,M,IND,2539,,118353,4,2.15%,0,OTHERS
1758,2001,Tamil Nadu,VEDASANDUR, . ANDIVEL.P,M,ADMK,65415,,133475,1,49.01%,1,ADMK
1759,2001,Tamil Nadu,VEDASANDUR, . KAVITHA PARTHIPAN.TMT.R,F,DMK,46289,,133475,2,34.68%,0,DMK
1760,2001,Tamil Nadu,VEDASANDUR, . KARNAN.S,M,MDMK,8381,,133475,3,6.28%,0,OTHERS
1761,2001,Tamil Nadu,VEDASANDUR, . RETHINAM .V.,M,TYMK,6984,,133475,4,5.23%,0,OTHERS
1762,2001,Tamil Nadu,VEDASANDUR, . SIVASUBRAMANI ALIAS DALIT SIVA .P,M,IND,2296,,133475,5,1.72%,0,OTHERS
1763,2001,Tamil Nadu,VEDASANDUR, . ANDAVAN .K.,M,IND,1966,,133475,6,1.47%,0,OTHERS
1764,2001,Tamil Nadu,VEDASANDUR, . KARUPPANAN.A.,M,JD(U),1221,,133475,7,0.91%,0,OTHERS
1765,2001,Tamil Nadu,VEDASANDUR, . MURUGESAN.S.,M,CPI(ML)(L),923,,133475,8,0.69%,0,OTHERS
1766,2001,Tamil Nadu,VEERAPANDI,SELVAM.S.K,M,ADMK,85657,,146733,1,58.38%,1,ADMK
1767,2001,Tamil Nadu,VEERAPANDI,ARUMUGAM.S,M,DMK,55645,,146733,2,37.92%,0,DMK
1768,2001,Tamil Nadu,VEERAPANDI,A. ANBURAJENDRAN,M,MDMK,1318,,146733,3,0.90%,0,OTHERS
1769,2001,Tamil Nadu,VEERAPANDI,S. AMIRTHALINGAM,M,IND,1067,,146733,4,0.73%,0,OTHERS
1770,2001,Tamil Nadu,VEERAPANDI,V. NEHRURAJAN,M,IND,962,,146733,5,0.66%,0,OTHERS
1771,2001,Tamil Nadu,VEERAPANDI,SUBRAMANIAM.K,M,IND,661,,146733,6,0.45%,0,OTHERS
1772,2001,Tamil Nadu,VEERAPANDI,SELVAM.S.K,M,IND,519,,146733,7,0.35%,0,OTHERS
1773,2001,Tamil Nadu,VEERAPANDI,T. SAMPATHKUMAR,M,IND,251,,146733,8,0.17%,0,OTHERS
1774,2001,Tamil Nadu,VEERAPANDI,OM AYABA ESWARAN.R.P. ,M,IND,203,,146733,9,0.14%,0,OTHERS
1775,2001,Tamil Nadu,VEERAPANDI,ANANDAN.M,M,IND,189,,146733,10,0.13%,0,OTHERS
1776,2001,Tamil Nadu,VEERAPANDI,R. GOVINDASAMY,M,IND,142,,146733,11,0.10%,0,OTHERS
1777,2001,Tamil Nadu,VEERAPANDI,KRISHNAMOORTHY.N,M,IND,119,,146733,12,0.08%,0,OTHERS
1778,2001,Tamil Nadu,VELLAKOIL,SAMINATHAN.M.P.,M,DMK,37571,,113900,1,32.99%,1,DMK
1779,2001,Tamil Nadu,VELLAKOIL,PERIASAMY. V.P.,M,ADMK,36831,,113900,2,32.34%,0,ADMK
1780,2001,Tamil Nadu,VELLAKOIL,DURAI RAMASWAMY,M,IND,32056,,113900,3,28.14%,0,OTHERS
1781,2001,Tamil Nadu,VELLAKOIL,SHANMUGAM .V.N.,M,MDMK,4045,,113900,4,3.55%,0,OTHERS
1782,2001,Tamil Nadu,VELLAKOIL,PALANISAMY,M,IND,1611,,113900,5,1.41%,0,OTHERS
1783,2001,Tamil Nadu,VELLAKOIL,SUDHARSAN,M,IND,1090,,113900,6,0.96%,0,OTHERS
1784,2001,Tamil Nadu,VELLAKOIL,SUBURATHINAM. N,M,IND,696,,113900,7,0.61%,0,OTHERS
1785,2001,Tamil Nadu,VELLORE,GNANASEKARAN.C,M,TMC(M),60697,,115708,1,52.46%,1,ADMK
1786,2001,Tamil Nadu,VELLORE,RAMALINGAM..A.M,M,DMK,49573,,115708,2,42.84%,0,DMK
1787,2001,Tamil Nadu,VELLORE,RAJASEKARAN ..S,M,MDMK,2098,,115708,3,1.81%,0,OTHERS
1788,2001,Tamil Nadu,VELLORE,ABDUL JAMEEL.R,M,IND,1192,,115708,4,1.03%,0,OTHERS
1789,2001,Tamil Nadu,VELLORE,RAMU.A,M,IND,959,,115708,5,0.83%,0,OTHERS
1790,2001,Tamil Nadu,VELLORE,VARADARAJAN.A.,M,JP,478,,115708,6,0.41%,0,OTHERS
1791,2001,Tamil Nadu,VELLORE,PANNEER SELVAM.N,M,IND,436,,115708,7,0.38%,0,OTHERS
1792,2001,Tamil Nadu,VELLORE,KARNAKER.C.M,M,SAP,275,,115708,8,0.24%,0,OTHERS
1793,2001,Tamil Nadu,VILATHIKULAM,PERUMAL.N.K,M,ADMK,44415,,92221,1,48.16%,1,ADMK
1794,2001,Tamil Nadu,VILATHIKULAM,RAJASEKARAN.R.K.P,M,DMK,29172,,92221,2,31.63%,0,DMK
1795,2001,Tamil Nadu,VILATHIKULAM,KUMARAGURUBARA RAMANATHAN.S,M,MDMK,16237,,92221,3,17.61%,0,OTHERS
1796,2001,Tamil Nadu,VILATHIKULAM,BOOMINATHAN.K,M,IND,1331,,92221,4,1.44%,0,OTHERS
1797,2001,Tamil Nadu,VILATHIKULAM,SELVARAJ.K,M,IND,1066,,92221,5,1.16%,0,OTHERS
1798,2001,Tamil Nadu,VILAVANCODE,MONY.D.,M,CPM,59087,,104113,1,56.75%,1,ADMK
1799,2001,Tamil Nadu,VILAVANCODE,JEEVARAJ.P.,M,DMK,36168,,104113,2,34.74%,0,DMK
1800,2001,Tamil Nadu,VILAVANCODE,JAYARAJ.A.,M,MDMK,6494,,104113,3,6.24%,0,OTHERS
1801,2001,Tamil Nadu,VILAVANCODE,RADHAKRISHNANC.P.,M,IND,1181,,104113,4,1.13%,0,OTHERS
1802,2001,Tamil Nadu,VILAVANCODE,DHARMENDRAKUMAR.S.N.,M,IND,501,,104113,5,0.48%,0,OTHERS
1803,2001,Tamil Nadu,VILAVANCODE,ELIAS.G.,M,IND,295,,104113,6,0.28%,0,OTHERS
1804,2001,Tamil Nadu,VILAVANCODE,GNANAMUTHAN.V.,M,IND,236,,104113,7,0.23%,0,OTHERS
1805,2001,Tamil Nadu,VILAVANCODE,KISINJER.N.S.,M,IND,151,,104113,8,0.15%,0,OTHERS
1806,2001,Tamil Nadu,VILLIVAKKAM,NEPOLEON .D,M,DMK,164787,,341835,1,48.21%,1,DMK
1807,2001,Tamil Nadu,VILLIVAKKAM,CHELLAKUMAR.A.DR.,M,TMC(M),155557,,341835,2,45.51%,0,ADMK
1808,2001,Tamil Nadu,VILLIVAKKAM,SIVAPRAKASAM J,M,MDMK,12112,,341835,3,3.54%,0,OTHERS
1809,2001,Tamil Nadu,VILLIVAKKAM,JOSUVA .P,M,PB,3139,,341835,4,0.92%,0,OTHERS
1810,2001,Tamil Nadu,VILLIVAKKAM,KUMARASAMY .S,M,CPI(ML)(L),1601,,341835,5,0.47%,0,OTHERS
1811,2001,Tamil Nadu,VILLIVAKKAM,ABUBAKKAR .M,M,SP,1150,,341835,6,0.34%,0,OTHERS
1812,2001,Tamil Nadu,VILLIVAKKAM,MURUGASAN R.,M,IND,1097,,341835,7,0.32%,0,OTHERS
1813,2001,Tamil Nadu,VILLIVAKKAM,BALAKUMARAN S.,M,IND,536,,341835,8,0.16%,0,OTHERS
1814,2001,Tamil Nadu,VILLIVAKKAM,THIAGARAJAN .J,M,IND,458,,341835,9,0.13%,0,OTHERS
1815,2001,Tamil Nadu,VILLIVAKKAM,ARUMUGAM .A,M,LJNSP,370,,341835,10,0.11%,0,OTHERS
1816,2001,Tamil Nadu,VILLIVAKKAM,SEKAR .S.V.,M,IND,361,,341835,11,0.11%,0,OTHERS
1817,2001,Tamil Nadu,VILLIVAKKAM,BALUSAMY .CHO.,M,NVMK,277,,341835,12,0.08%,0,OTHERS
1818,2001,Tamil Nadu,VILLIVAKKAM,SUDALAIMUTHU .G.,M,IND,219,,341835,13,0.06%,0,OTHERS
1819,2001,Tamil Nadu,VILLIVAKKAM,TAMIL SELVAN .P.V,M,IND,171,,341835,14,0.05%,0,OTHERS
1820,2001,Tamil Nadu,VILLUPURAM,PONMUDY.K,M,DMK,65693,,138453,1,47.45%,1,DMK
1821,2001,Tamil Nadu,VILLUPURAM,R.PASUPATHY,M,PMK,63488,,138453,2,45.86%,0,ADMK
1822,2001,Tamil Nadu,VILLUPURAM,GOVINDARAJULU.V,M,MDMK,2982,,138453,3,2.15%,0,OTHERS
1823,2001,Tamil Nadu,VILLUPURAM,SADAGOPAN.K,M,IND,1853,,138453,4,1.34%,0,OTHERS
1824,2001,Tamil Nadu,VILLUPURAM,MOHAMED ALI JINNA .M,M,IND,1116,,138453,5,0.81%,0,OTHERS
1825,2001,Tamil Nadu,VILLUPURAM,PONMUDI .V,M,IND,851,,138453,6,0.61%,0,OTHERS
1826,2001,Tamil Nadu,VILLUPURAM,KALIYAMOORTHY.G,M,BSP,781,,138453,7,0.56%,0,OTHERS
1827,2001,Tamil Nadu,VILLUPURAM,FARUKLAL. C,M,IND,704,,138453,8,0.51%,0,OTHERS
1828,2001,Tamil Nadu,VILLUPURAM,PONMUDI .V,M,IND,293,,138453,9,0.21%,0,OTHERS
1829,2001,Tamil Nadu,VILLUPURAM,BABU . N ,M,IND,246,,138453,10,0.18%,0,OTHERS
1830,2001,Tamil Nadu,VILLUPURAM,PALANIAPPAN. K.P,M,IND,237,,138453,11,0.17%,0,OTHERS
1831,2001,Tamil Nadu,VILLUPURAM,SURESHKUMAR.S,M,IND,209,,138453,12,0.15%,0,OTHERS
1832,2001,Tamil Nadu,VIRUDHUNAGAR,DAMODARAN S.,M,TMC(M),49413,,115815,1,42.67%,1,ADMK
1833,2001,Tamil Nadu,VIRUDHUNAGAR,A.R.R.SEENIVASAN,M,DMK,45396,,115815,2,39.20%,0,DMK
1834,2001,Tamil Nadu,VIRUDHUNAGAR,R.VARATHARAJAN,M,MDMK,14695,,115815,3,12.69%,0,OTHERS
1835,2001,Tamil Nadu,VIRUDHUNAGAR,RAJAILANGO.M,M,IND,2595,,115815,4,2.24%,0,OTHERS
1836,2001,Tamil Nadu,VIRUDHUNAGAR,A.S.A. ARUMUGAM,M,JD(S),1090,,115815,5,0.94%,0,OTHERS
1837,2001,Tamil Nadu,VIRUDHUNAGAR,P.S.A. UMAR FAROOK,M,IND,1040,,115815,6,0.90%,0,OTHERS
1838,2001,Tamil Nadu,VIRUDHUNAGAR,RAJA.M.G,M,IND,620,,115815,7,0.54%,0,OTHERS
1839,2001,Tamil Nadu,VIRUDHUNAGAR,RAAMAMOORTHY.K,M,IND,271,,115815,8,0.23%,0,OTHERS
1840,2001,Tamil Nadu,VIRUDHUNAGAR,R.MARAN,M,IND,230,,115815,9,0.20%,0,OTHERS
1841,2001,Tamil Nadu,VIRUDHUNAGAR,R.BABU,M,IND,176,,115815,10,0.15%,0,OTHERS
1842,2001,Tamil Nadu,VIRUDHUNAGAR,PALANICHAMY. V,M,IND,146,,115815,11,0.13%,0,OTHERS
1843,2001,Tamil Nadu,VIRUDHUNAGAR,P.K.SUNDARARAJ,M,IND,143,,115815,12,0.12%,0,OTHERS
1844,2001,Tamil Nadu,VRIDHACHALAM,GOVINDASAMY. DR.R,M,PMK,68905,,137440,1,50.13%,1,ADMK
1845,2001,Tamil Nadu,VRIDHACHALAM,KUZHANDAI TAMIZHARASAN.,M,DMK,61777,,137440,2,44.95%,0,DMK
1846,2001,Tamil Nadu,VRIDHACHALAM,VENGADASALABTHI.G,M,MDMK,1657,,137440,3,1.21%,0,OTHERS
1847,2001,Tamil Nadu,VRIDHACHALAM,JAYABALAN.G.,M,IND,1650,,137440,4,1.20%,0,OTHERS
1848,2001,Tamil Nadu,VRIDHACHALAM,NAGAPPAN. PON.,M,BSP,1230,,137440,5,0.89%,0,OTHERS
1849,2001,Tamil Nadu,VRIDHACHALAM,SENTHILKUMAR .T,M,IND,1011,,137440,6,0.74%,0,OTHERS
1850,2001,Tamil Nadu,VRIDHACHALAM,CHAKKARAVARTHI. K,M,IND,609,,137440,7,0.44%,0,OTHERS
1851,2001,Tamil Nadu,VRIDHACHALAM,ASHOKKUMAR.S,M,IND,350,,137440,8,0.25%,0,OTHERS
1852,2001,Tamil Nadu,VRIDHACHALAM,BALAKUMAR.K,M,MNK(PLP),251,,137440,9,0.18%,0,OTHERS
1853,2001,Tamil Nadu,YERCAUD,ELAYAKANNU. K.T.,M,ADMK,64319,,99950,1,64.35%,1,ADMK
