id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2006,Pondicherry,Muthialpet,NANDHA T. SARAVANAN,M,36,GEN,DMK,,,11658,25541,21414,1,1,UPA
2,2006,Pondicherry,Muthialpet,A. KASILINGAM,M,75,GEN,AIADMK,,,6779,25541,21414,2,0,Others
3,2006,Pondicherry,Muthialpet,M. VISWESWARAN,M,53,GEN,BJP,,,682,25541,21414,3,0,Others
4,2006,Pondicherry,Muthialpet,K. MULLAI,F,35,GEN,DMDK,,,504,25541,21414,4,0,Others
5,2006,Pondicherry,Muthialpet,E. KUPPAN,M,52,GEN,IND,,,77,25541,21414,5,0,Others
6,2006,Pondicherry,Muthialpet,P. SARAVANAN,M,31,GEN,IND,,,74,25541,21414,6,0,Others
7,2006,Pondicherry,Muthialpet,K. KANNAN,M,28,GEN,IND,,,58,25541,21414,7,0,Others
8,2006,Pondicherry,Muthialpet,M. PAVADAI @ RAJA,M,27,GEN,BSP,,,47,25541,21414,8,0,Others
9,2006,Pondicherry,Muthialpet,U. KASINATHAN,M,59,GEN,IND,,,37,25541,21414,9,0,Others
10,2006,Pondicherry,Cassicade,K. LAKSHMINARAYANAN,M,45,GEN,PMC,,,4942,12957,10076,1,1,Others
11,2006,Pondicherry,Cassicade,G. RAVICHANDIRAN,M,50,GEN,INC,,,4726,12957,10076,2,0,UPA
12,2006,Pondicherry,Cassicade,D. DEENADHAYALAN,M,54,GEN,BJP,,,210,12957,10076,3,0,Others
13,2006,Pondicherry,Cassicade,V. GOVINDAN,M,47,GEN,DMDK,,,169,12957,10076,4,0,Others
14,2006,Pondicherry,Cassicade,P.K. BASKARAN,M,29,GEN,BSP,,,29,12957,10076,5,0,Others
15,2006,Pondicherry,Raj Bhavan,S.P. SIVAKUMAR,M,47,GEN,DMK,,,2590,5119,3927,1,1,UPA
16,2006,Pondicherry,Raj Bhavan,P.K. DEVADOSS.,M,49,GEN,PMC,,,1094,5119,3927,2,0,Others
17,2006,Pondicherry,Raj Bhavan,R. GOVINDARAJANE,M,35,GEN,BJP,,,152,5119,3927,3,0,Others
18,2006,Pondicherry,Raj Bhavan,A.XAVIER,M,36,GEN,DMDK,,,49,5119,3927,4,0,Others
19,2006,Pondicherry,Raj Bhavan,V. RAMAMOORTHI,M,47,GEN,IND,,,19,5119,3927,5,0,Others
20,2006,Pondicherry,Raj Bhavan,K. VAITHIYANATHAN,M,37,GEN,BSP,,,16,5119,3927,6,0,Others
21,2006,Pondicherry,Bussy,ANAND,M,42,GEN,PMC,,,2423,5627,4482,1,1,Others
22,2006,Pondicherry,Bussy,ANNIBAL KENNEDY,M,41,GEN,DMK,,,1952,5627,4482,2,0,UPA
23,2006,Pondicherry,Bussy,M. GOPALAKRISHNAN,M,44,GEN,BJP,,,50,5627,4482,3,0,Others
24,2006,Pondicherry,Bussy,S. PRABHAKARAN,M,39,GEN,DMDK,,,29,5627,4482,4,0,Others
