id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2016,Puducherry,Mannadipet,T.P.R. SELVAME,M,GEN,44,AINRC,,,7679,30709,27586,1,1,AINRC
2,2016,Puducherry,Mannadipet,A. KRISHNAN,M,GEN,53,DMK,,,7260,30709,27586,2,0,UPA
3,2016,Puducherry,Mannadipet,MAHADEVI,F,GEN,36,ADMK,,,5676,30709,27586,3,0,Others
4,2016,Puducherry,Mannadipet,K.P.K. ARUL MURUGAN,M,GEN,40,IND,,,4913,30709,27586,4,0,Others
5,2016,Puducherry,Mannadipet,CANDANE NAARAYANASSAAMY,M,GEN,38,IND,,,784,30709,27586,5,0,Others
6,2016,Puducherry,Mannadipet,None of the Above,NULL,NULL,NULL,NOTA,,,316,30709,27586,6,0,Others
7,2016,Puducherry,Mannadipet,VENKATESAN,M,GEN,51,PMK,,,260,30709,27586,7,0,Others
8,2016,Puducherry,Mannadipet,M. KARTHIKEYAN,M,GEN,31,DMDK,,,220,30709,27586,8,0,Others
9,2016,Puducherry,Mannadipet,SADHASIVAM @ SARAVANAN,M,GEN,41,BJP,,,211,30709,27586,9,0,Others
10,2016,Puducherry,Mannadipet,PURUSHOTHAMAN,M,GEN,25,BSP,,,85,30709,27586,10,0,Others
11,2016,Puducherry,Mannadipet,V. MURUGANANDHAM,M,GEN,36,IND,,,56,30709,27586,11,0,Others
12,2016,Puducherry,Mannadipet,P. MUTHUKUMARAN,M,GEN,40,IJK,,,53,30709,27586,12,0,Others
13,2016,Puducherry,Mannadipet,BOOMILINGAM,M,SC,29,AgIMK,,,47,30709,27586,13,0,Others
14,2016,Puducherry,Thirubhuvanai,B. KOBIGA,F,SC,34,AINRC,,,12143,30424,27172,1,1,AINRC
15,2016,Puducherry,Thirubhuvanai,P. ANGALANE,M,SC,48,INC,,,10711,30424,27172,2,0,UPA
16,2016,Puducherry,Thirubhuvanai,M. SANKAR @ VADIVELAN,M,SC,49,ADMK,,,1618,30424,27172,3,0,Others
17,2016,Puducherry,Thirubhuvanai,L. KALIVARATHAN,M,SC,69,CPM,,,1484,30424,27172,4,0,Others
18,2016,Puducherry,Thirubhuvanai,None of the Above,NULL,NULL,NULL,NOTA,,,496,30424,27172,5,0,Others
19,2016,Puducherry,Thirubhuvanai,S.T.PARAMASIVAM ALIAS CALE,M,SC,42,IND,,,213,30424,27172,6,0,Others
20,2016,Puducherry,Thirubhuvanai,SUNDARAMOORTHY,M,SC,48,BJP,,,208,30424,27172,7,0,Others
21,2016,Puducherry,Thirubhuvanai,S. KOMALA,F,SC,63,IND,,,113,30424,27172,8,0,Others
22,2016,Puducherry,Thirubhuvanai,PERU. P. PANDIYAN,M,SC,37,BSP,,,69,30424,27172,9,0,Others
23,2016,Puducherry,Thirubhuvanai,A. EGAMBARAM,M,SC,55,IND,,,55,30424,27172,10,0,Others
24,2016,Puducherry,Thirubhuvanai,G. BOOMILINGAM,M,SC,29,AgIMK,,,21,30424,27172,11,0,Others
25,2016,Puducherry,Thirubhuvanai,E. ANANTHAVEL,M,SC,30,IND,,,19,30424,27172,12,0,Others
26,2016,Puducherry,Oussudu,E. THEEPPAINTHAN,M,SC,51,INC,,,8675,28973,26284,1,1,UPA
27,2016,Puducherry,Oussudu,SAI J SARAVANAN KUMAR,M,SC,43,BJP,,,6345,28973,26284,2,0,Others
28,2016,Puducherry,Oussudu,M. VAITHIYANATHAN,M,SC,52,AINRC,,,5687,28973,26284,3,0,AINRC
29,2016,Puducherry,Oussudu,P. KARTHIKEYAN,M,SC,40,IND,,,3397,28973,26284,4,0,Others
30,2016,Puducherry,Oussudu,M. SELVARASSOU,M,SC,60,ADMK,,,942,28973,26284,5,0,Others
31,2016,Puducherry,Oussudu,D. ANGALAN,M,SC,56,VCK,,,479,28973,26284,6,0,Others
32,2016,Puducherry,Oussudu,None of the Above,NULL,NULL,NULL,NOTA,,,388,28973,26284,7,0,Others
33,2016,Puducherry,Oussudu,P. ASARAVEL,M,SC,43,IND,,,166,28973,26284,8,0,Others
34,2016,Puducherry,Oussudu,P. MADHIVANAN,M,SC,43,IND,,,65,28973,26284,9,0,Others
35,2016,Puducherry,Oussudu,S. SASIKUMAR,M,SC,41,ntk,,,59,28973,26284,10,0,Others
36,2016,Puducherry,Oussudu,K. ARUNACHALAM,M,SC,40,AgIMK,,,39,28973,26284,11,0,Others
37,2016,Puducherry,Oussudu,R. JEYAPRIYA,F,SC,29,IJK,,,31,28973,26284,12,0,Others
38,2016,Puducherry,Mangalam,S.V. SUGUMARAN,M,GEN,50,AINRC,,,13955,34831,31294,1,1,AINRC
39,2016,Puducherry,Mangalam,S. KUMARAVEL,M,GEN,45,DMK,,,8392,34831,31294,2,0,UPA
40,2016,Puducherry,Mangalam,K. NATARAJAN,M,GEN,66,ADMK,,,7124,34831,31294,3,0,Others
41,2016,Puducherry,Mangalam,None of the Above,NULL,NULL,NULL,NOTA,,,366,34831,31294,4,0,Others
42,2016,Puducherry,Mangalam,N. ELUMALAI,M,GEN,40,MDMK,,,314,34831,31294,5,0,Others
43,2016,Puducherry,Mangalam,M. LATCHOUMY DITE SRIVARAMANGUE,F,GEN,46,BJP,,,272,34831,31294,6,0,Others
44,2016,Puducherry,Mangalam,R. BALAMURUGAN,M,GEN,40,IND,,,181,34831,31294,7,0,Others
45,2016,Puducherry,Mangalam,SUGUMARAN,M,GEN,34,IND,,,178,34831,31294,8,0,Others
46,2016,Puducherry,Mangalam,P. MURUGESAN,M,GEN,51,IND,,,105,34831,31294,9,0,Others
47,2016,Puducherry,Mangalam,P. BAKKIYARAJ,M,SC,33,ntk,,,104,34831,31294,10,0,Others
48,2016,Puducherry,Mangalam,D. ALANGARAVELU,M,SC,44,BSP,,,103,34831,31294,11,0,Others
49,2016,Puducherry,Mangalam,P. MURUGAN,M,GEN,49,CPI(ML)(L),,,95,34831,31294,12,0,Others
50,2016,Puducherry,Mangalam,J. HARIDASS,M,GEN,36,IND,,,42,34831,31294,13,0,Others
