id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2011,Kerala,MANJESHWAR,P B ABDUL RAZAK,M,55,GEN,MUL,,,49817,176817,132973,1,1,UDF
2,2011,Kerala,MANJESHWAR,K SURENDRAN,M,41,GEN,BJP,,,43989,176817,132973,2,0,Others
3,2011,Kerala,MANJESHWAR,ADV. C H KUNHAMBU,M,51,GEN,CPM,,,35067,176817,132973,3,0,LDF
4,2011,Kerala,MANJESHWAR,HAFSA MUNEER,F,34,GEN,IND,,,1076,176817,132973,4,0,Others
5,2011,Kerala,MANJESHWAR,ABDUL MAJEED,M,40,GEN,BSP,,,869,176817,132973,5,0,Others
6,2011,Kerala,MANJESHWAR,ABDULLA TIMBER,M,54,GEN,IND,,,547,176817,132973,6,0,Others
7,2011,Kerala,MANJESHWAR,KUNHAMBU,M,55,GEN,IND,,,490,176817,132973,7,0,Others
8,2011,Kerala,MANJESHWAR,ABDUL RAZAK K,M,31,GEN,IND,,,465,176817,132973,8,0,Others
9,2011,Kerala,MANJESHWAR,ABBAS M,M,25,GEN,IND,,,391,176817,132973,9,0,Others
10,2011,Kerala,MANJESHWAR,ABDULLA P M,M,46,GEN,IND,,,262,176817,132973,10,0,Others
11,2011,Kerala,KASARAGOD,N.A.NELLIKKUNNU,M,57,GEN,MUL,,,53068,159289,117031,1,1,UDF
12,2011,Kerala,KASARAGOD,JAYALAKSHMI N BHAT,F,53,GEN,BJP,,,43330,159289,117031,2,0,Others
13,2011,Kerala,KASARAGOD,AZEEZ KADAPPURAM,M,44,GEN,INL,,,16467,159289,117031,3,0,LDF
14,2011,Kerala,KASARAGOD,A H MUNEER,M,34,GEN,SDPI,,,1260,159289,117031,4,0,Others
15,2011,Kerala,KASARAGOD,GOVINDA RAJA KUNTIKKANAMATA,M,33,GEN,IND,,,938,159289,117031,5,0,Others
16,2011,Kerala,KASARAGOD,SAIFUDEEN K MAKKODU,M,48,GEN,BSP,,,807,159289,117031,6,0,Others
17,2011,Kerala,KASARAGOD,AJITH KUMAR AZAD,M,36,GEN,IND,,,739,159289,117031,7,0,Others
18,2011,Kerala,KASARAGOD,ABDULLA,M,35,GEN,IND,,,422,159289,117031,8,0,Others
19,2011,Kerala,UDMA,K.KUNHIRAMAN,M,62,GEN,CPM,,,61646,173529,128626,1,1,LDF
20,2011,Kerala,UDMA,ADV. C K SREEDHARAN,M,66,GEN,INC,,,50266,173529,128626,2,0,UDF
21,2011,Kerala,UDMA,SUNITHA PRASANTH,F,33,GEN,BJP,,,13073,173529,128626,3,0,Others
22,2011,Kerala,UDMA,FAISAL KOLIYADUKKAM,M,31,GEN,SDPI,,,1265,173529,128626,4,0,Others
23,2011,Kerala,UDMA,P DAMODARAN,M,37,GEN,BSP,,,1096,173529,128626,5,0,Others
24,2011,Kerala,UDMA,KRISHNANKUTTY,M,36,GEN,IND,,,866,173529,128626,6,0,Others
25,2011,Kerala,UDMA,KUNHIRAMAN,M,49,GEN,IND,,,414,173529,128626,7,0,Others
26,2011,Kerala,KANHANGAD,E.CHANDRASHEKHARAN,M,63,GEN,CPI,,,66640,178186,139841,1,1,LDF
