id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2006,Kerala,Manjeswar,C H KUNHAMBU,M,47,GEN,CPI(M),,,39242,154227,110731,1,1,LDF
2,2006,Kerala,Manjeswar,ADV. M NARAYANA BHAT,M,55,GEN,BJP,,,34413,154227,110731,2,0,Others
3,2006,Kerala,Manjeswar,CHERKALAM ABDULLAH,M,63,GEN,MUL,,,34186,154227,110731,3,0,UDF
4,2006,Kerala,Manjeswar,MADHAVA MANJESHWAR,M,53,GEN,BSP,,,2037,154227,110731,4,0,Others
5,2006,Kerala,Kasaragod,C T AHAMEDALI,M,62,GEN,MUL,,,38774,154904,100981,1,1,UDF
6,2006,Kerala,Kasaragod,V RAVINDRAN,M,56,GEN,BJP,,,28432,154904,100981,2,0,Others
7,2006,Kerala,Kasaragod,N A NELLIKKUNNU,M,52,GEN,INL,,,27790,154904,100981,3,0,LDF
8,2006,Kerala,Kasaragod,T A AHAMMED,M,43,GEN,IND,,,2719,154904,100981,4,0,Others
9,2006,Kerala,Kasaragod,RAJARATNA KOTEVALAP,M,46,GEN,BSP,,,1319,154904,100981,5,0,Others
10,2006,Kerala,Kasaragod,ABBAS MUTHALAPPARA,M,43,GEN,IND,,,1145,154904,100981,6,0,Others
11,2006,Kerala,Udma,K V KUNHIRAMAN,M,45,GEN,CPI(M),,,69221,173879,124495,1,1,LDF
12,2006,Kerala,Udma,P GANGADHARAN NAIR,M,65,GEN,INC,,,41927,173879,124495,2,0,UDF
13,2006,Kerala,Udma,ADV. B RAVEENDRAN NAIR,M,40,GEN,BJP,,,11117,173879,124495,3,0,Others
14,2006,Kerala,Udma,ABDULLA,M,40,GEN,IND,,,1212,173879,124495,4,0,Others
15,2006,Kerala,Udma,N. MANI,M,55,GEN,BSP,,,1005,173879,124495,5,0,Others
16,2006,Kerala,Hosdrug,PALLIPRAM BALAN,M,64,SC,CPI,,,71751,183771,128318,1,1,LDF
17,2006,Kerala,Hosdrug,P RAMACHANDRAN,M,50,SC,DIC,,,36812,183771,128318,2,0,Others
18,2006,Kerala,Hosdrug,C K VALSALAN,M,38,SC,BJP,,,11272,183771,128318,3,0,Others
19,2006,Kerala,Hosdrug,K C KUNJUKOCHU MASTER,M,60,SC,BSP,,,2783,183771,128318,4,0,Others
20,2006,Kerala,Hosdrug,C RAGHAVAN,M,31,SC,IND,,,2467,183771,128318,5,0,Others
21,2006,Kerala,Hosdrug,K V RAMACHANDRAN,M,50,SC,IND,,,1696,183771,128318,6,0,Others
22,2006,Kerala,Hosdrug,P K RAMAN,M,46,SC,IND,,,1530,183771,128318,7,0,Others
23,2006,Kerala,Trikkarpur,KUNHIRAMAN K,M,63,GEN,CPI(M),,,81050,185121,144994,1,1,LDF
24,2006,Kerala,Trikkarpur,ADV. VAMANA KUMAR A V,M,42,GEN,INC,,,57222,185121,144994,2,0,UDF
25,2006,Kerala,Trikkarpur,KUNHIRAMAN T,M,48,GEN,BJP,,,4164,185121,144994,3,0,Others
26,2006,Kerala,Trikkarpur,HARIDAS P,M,37,GEN,IND,,,1109,185121,144994,4,0,Others
27,2006,Kerala,Trikkarpur,THAMPAN A.K,M,44,GEN,IND,,,762,185121,144994,5,0,Others
28,2006,Kerala,Trikkarpur,BALAKRISHNAN U,M,54,GEN,BSP,,,653,185121,144994,6,0,Others
29,2006,Kerala,Irikkur,ADVOCATE K C JOSEPH,M,59,GEN,INC,,,63649,165884,131616,1,1,UDF
30,2006,Kerala,Irikkur,JAMES MATHEW,M,45,GEN,CPI(M),,,61818,165884,131616,2,0,LDF
31,2006,Kerala,Irikkur,ANIAMMA RAJENDRAN,F,40,GEN,BJP,,,3041,165884,131616,3,0,Others
32,2006,Kerala,Irikkur,K C JOSEPH,M,53,GEN,IND,,,1387,165884,131616,4,0,Others
33,2006,Kerala,Irikkur,M K JAYARAJAN,M,42,GEN,IND,,,592,165884,131616,5,0,Others
34,2006,Kerala,Irikkur,THANKACHAN,M,42,GEN,IND,,,527,165884,131616,6,0,Others
35,2006,Kerala,Payyannur,P K SREEMATHI TEACHER,F,56,GEN,CPI(M),,,76974,162770,124733,1,1,LDF
36,2006,Kerala,Payyannur,K SURENDRAN,M,54,GEN,INC,,,40852,162770,124733,2,0,UDF
37,2006,Kerala,Payyannur,A K RAJAGOPALAN MASTER,M,58,GEN,BJP,,,4645,162770,124733,3,0,Others
38,2006,Kerala,Payyannur,K DEVI,F,45,GEN,IND,,,2212,162770,124733,4,0,Others
39,2006,Kerala,Taliparamba,C.K.P PADMANABHAN,M,56,GEN,CPI(M),,,82994,185539,145253,1,1,LDF
40,2006,Kerala,Taliparamba,CHANDRAN THILLANKERI,M,38,GEN,INC,,,53456,185539,145253,2,0,UDF
41,2006,Kerala,Taliparamba,ADVOCATE A.V.KESAVAN,M,35,GEN,BJP,,,5294,185539,145253,3,0,Others
42,2006,Kerala,Taliparamba,MADHU.S.VAYANAL,M,49,GEN,BSP,,,932,185539,145253,4,0,Others
43,2006,Kerala,Taliparamba,PRABHAKARAN,M,51,GEN,IND,,,932,185539,145253,5,0,Others
44,2006,Kerala,Taliparamba,CHANDRAN CHALIL,M,45,GEN,IND,,,805,185539,145253,6,0,Others
45,2006,Kerala,Azhicode,M PRAKASAN MASTER,M,47,GEN,CPI(M),,,62768,133825,101723,1,1,LDF
46,2006,Kerala,Azhicode,K K NANU,M,66,GEN,CMPKSC,,,33300,133825,101723,2,0,UDF
47,2006,Kerala,Azhicode,ADV.SREEKANTH RAVIVARMA,M,38,GEN,BJP,,,3625,133825,101723,3,0,Others
48,2006,Kerala,Azhicode,C BALAKRISHNAN,M,49,GEN,BSP,,,1122,133825,101723,4,0,Others
49,2006,Kerala,Azhicode,T KUNHAMBU,M,42,GEN,IND,,,894,133825,101723,5,0,Others
50,2006,Kerala,Cannanore,K SUDHAKARAN S/O RAMUNNI,M,57,GEN,INC,,,49745,130348,97372,1,1,UDF
51,2006,Kerala,Cannanore,K P SAHADEVAN,M,68,GEN,CPI(M),,,41132,130348,97372,2,0,LDF
52,2006,Kerala,Cannanore,BHAGYASEELAN CHALAD,M,52,GEN,BJP,,,4519,130348,97372,3,0,Others
53,2006,Kerala,Cannanore,K SUDHAKARAN S/O GOVINDAN,M,43,GEN,IND,,,671,130348,97372,4,0,Others
54,2006,Kerala,Cannanore,V RATHNAKARAN,M,58,GEN,IND,,,513,130348,97372,5,0,Others
55,2006,Kerala,Cannanore,SAHADEVAN,M,63,GEN,IND,,,477,130348,97372,6,0,Others
56,2006,Kerala,Cannanore,SATHEESH PAMBAN,M,54,GEN,IND,,,285,130348,97372,7,0,Others
57,2006,Kerala,Edakkad,RAMACHANDRAN KADANNAPALLY,M,61,GEN,C(S),,,72579,160984,125022,1,1,Others
58,2006,Kerala,Edakkad,K C KADAMBOORAN,M,65,GEN,DIC,,,41907,160984,125022,2,0,Others
59,2006,Kerala,Edakkad,N K E CHANDRASEKHARAN MASTER,M,64,GEN,BJP,,,4334,160984,125022,3,0,Others
60,2006,Kerala,Edakkad,M V PRADEEP KUMAR,M,47,GEN,IND,,,3471,160984,125022,4,0,Others
61,2006,Kerala,Edakkad,C M RAMACHANDRAN,M,48,GEN,IND,,,2700,160984,125022,5,0,Others
62,2006,Kerala,Tellicherry,KODIYERI BALAKRISHNAN,M,52,GEN,CPI(M),,,53907,131410,101520,1,1,LDF
63,2006,Kerala,Tellicherry,RAJ MOHAN UNNITHAN,M,52,GEN,INC,,,43852,131410,101520,2,0,UDF
64,2006,Kerala,Tellicherry,SATHYA PRAKASHAN,M,39,GEN,BJP,,,2589,131410,101520,3,0,Others
65,2006,Kerala,Tellicherry,RAJAGOPALAN UNNITHAN,M,40,GEN,IND,,,538,131410,101520,4,0,Others
66,2006,Kerala,Tellicherry,SAJEEVAN PARAMBAN,M,34,GEN,BSP,,,356,131410,101520,5,0,Others
67,2006,Kerala,Tellicherry,K BALAKRISHNAN,M,39,GEN,IND,,,240,131410,101520,6,0,Others
68,2006,Kerala,Peringalam,K P MOHANAN S/O P R KURUP,M,56,GEN,JD(S),,,57840,148842,111382,1,1,LDF
69,2006,Kerala,Peringalam,ABDUL KHADER S/O MUHAMMED,M,68,GEN,MUL,,,38604,148842,111382,2,0,UDF
70,2006,Kerala,Peringalam,A.ASHOKAN,M,40,GEN,BJP,,,9381,148842,111382,3,0,Others
71,2006,Kerala,Peringalam,MOHANAN S/O POKKAN,M,37,GEN,IND,,,2684,148842,111382,4,0,Others
72,2006,Kerala,Peringalam,MOHANAN S/O KUMARAN,M,34,GEN,IND,,,1082,148842,111382,5,0,Others
73,2006,Kerala,Peringalam,ABDUL KHADER K P S/O MOIDEEN HAJI,M,62,GEN,IND,,,932,148842,111382,6,0,Others
74,2006,Kerala,Peringalam,ABDUL KHADER MUSALIYAR S/O MAMMY MUSALIYAR,M,78,GEN,IND,,,843,148842,111382,7,0,Others
75,2006,Kerala,Kuthuparamba,P JAYARAJAN,M,53,GEN,CPI(M),,,78246,157631,125028,1,1,LDF
76,2006,Kerala,Kuthuparamba,ADV.SAJEEV JOSEPH,M,34,GEN,INC,,,39919,157631,125028,2,0,UDF
77,2006,Kerala,Kuthuparamba,ADV.M K RANJITH,M,51,GEN,BJP,,,5269,157631,125028,3,0,Others
78,2006,Kerala,Kuthuparamba,SAJI JOSEPH,M,27,GEN,IND,,,954,157631,125028,4,0,Others
79,2006,Kerala,Kuthuparamba,JAYARAJ K G,M,29,GEN,IND,,,575,157631,125028,5,0,Others
80,2006,Kerala,Peravoor,K K SHYLAJA TEACHER,F,47,GEN,CPI(M),,,72065,179145,143654,1,1,LDF
81,2006,Kerala,Peravoor,PROFESSOR A.D MUSTAFA,M,60,GEN,INC,,,62966,179145,143654,2,0,UDF
82,2006,Kerala,Peravoor,M G RAMAKRISHNAN,M,62,GEN,BJP,,,5152,179145,143654,3,0,Others
83,2006,Kerala,Peravoor,MUSTAFFA,M,26,GEN,IND,,,1374,179145,143654,4,0,Others
84,2006,Kerala,Peravoor,K K SHYLA,F,39,GEN,IND,,,1317,179145,143654,5,0,Others
85,2006,Kerala,Peravoor,RADHAMANI NARAYANAKUMAR,F,34,GEN,IND,,,744,179145,143654,6,0,Others
86,2006,Kerala,North Wynad,K C KUNHIRAMAN,M,46,ST,CPI(M),,,61970,179901,126735,1,1,LDF
87,2006,Kerala,North Wynad,P.BALAN,M,31,ST,MUL,,,46855,179901,126735,2,0,UDF
88,2006,Kerala,North Wynad,P.RAMACHANDRAN,M,57,ST,BJP,,,6187,179901,126735,3,0,Others
89,2006,Kerala,North Wynad,BALAN E V,M,27,ST,IND,,,2753,179901,126735,4,0,Others
90,2006,Kerala,North Wynad,C K JANU,F,38,ST,IND,,,2384,179901,126735,5,0,Others
91,2006,Kerala,North Wynad,V.C. APPAYYAN,M,64,ST,BSP,,,1998,179901,126735,6,0,Others
92,2006,Kerala,North Wynad,C P MADHAVAN,M,56,ST,IND,,,1924,179901,126735,7,0,Others
93,2006,Kerala,North Wynad,LISSY.P.JOSEPH,F,38,ST,LJP,,,1019,179901,126735,8,0,Others
94,2006,Kerala,North Wynad,A K BALAN,M,35,ST,IND,,,799,179901,126735,9,0,Others
