id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2006,West Bengal,Mekliganj,PARESH CHANDRA ADHIKARY,M,53,SC,AIFB,,,67491,164977,144251,1,1,LF
2,2006,West Bengal,Mekliganj,SUNIL CHANDRA ROY,M,55,SC,AITC,,,39490,164977,144251,2,0,NDA
3,2006,West Bengal,Mekliganj,JAYANTA KUMAR ROY,M,43,SC,INC,,,23092,164977,144251,3,0,UPA
4,2006,West Bengal,Mekliganj,PRAMILA ROY (BARMAN),F,40,SC,IND,,,4943,164977,144251,4,0,Others
5,2006,West Bengal,Mekliganj,JYOTISH ROY,M,55,SC,BSP,,,2895,164977,144251,5,0,UPA
6,2006,West Bengal,Mekliganj,BIJOY KUMAR ROY,M,56,SC,IND,,,2807,164977,144251,6,0,Others
7,2006,West Bengal,Mekliganj,ANANTA KUMAR BARMAN,M,56,SC,IND,,,2110,164977,144251,7,0,Others
8,2006,West Bengal,Mekliganj,RATAN BARMAN,M,41,SC,AMB,,,1401,164977,144251,8,0,Others
9,2006,West Bengal,Sitalkuchi,HARISH CHANDRA BARMAN,M,50,SC,CPI(M),,,75093,160616,142465,1,1,LF
10,2006,West Bengal,Sitalkuchi,LALIT CHANDRA PRAMANIK,M,49,SC,AITC,,,56226,160616,142465,2,0,NDA
11,2006,West Bengal,Sitalkuchi,BIRENDRA NARAYAN BARMA,M,57,SC,INC,,,3910,160616,142465,3,0,UPA
12,2006,West Bengal,Sitalkuchi,BISHNUMANI PATOWARY,M,38,SC,IND,,,3367,160616,142465,4,0,Others
13,2006,West Bengal,Sitalkuchi,SUBODH BARMAN,M,49,SC,AMB,,,2406,160616,142465,5,0,Others
14,2006,West Bengal,Sitalkuchi,GIRINDRANATH BARMAN,M,63,SC,IND,,,1372,160616,142465,6,0,Others
15,2006,West Bengal,Mathabhanga,ANANTA ROY,M,52,SC,CPI(M),,,78033,164647,142227,1,1,LF
16,2006,West Bengal,Mathabhanga,HEM CHANDRA BARMAN,M,56,SC,BJP,,,50033,164647,142227,2,0,NDA
17,2006,West Bengal,Mathabhanga,RABIN ROY,M,53,SC,INC,,,7478,164647,142227,3,0,UPA
18,2006,West Bengal,Mathabhanga,MANIK BARMAN,M,41,SC,IND,,,2635,164647,142227,4,0,Others
19,2006,West Bengal,Mathabhanga,KARNA KANTA BARMAN,M,44,SC,IND,,,1468,164647,142227,5,0,Others
20,2006,West Bengal,Mathabhanga,KANGSA RAJ BARMAN,M,39,SC,IND,,,1304,164647,142227,6,0,Others
21,2006,West Bengal,Mathabhanga,NAYAN CHAND BARMAN,M,49,SC,AMB,,,1130,164647,142227,7,0,Others
22,2006,West Bengal,Cooch Behar North,DIPAK CHANDRA SARKAR,M,53,GEN,AIFB,,,67997,164993,140793,1,1,LF
23,2006,West Bengal,Cooch Behar North,MIHIR GOSWAMI,M,52,GEN,AITC,,,36325,164993,140793,2,0,NDA
24,2006,West Bengal,Cooch Behar North,SHYAMAL KUMAR CHOWDHURY,M,60,GEN,INC,,,32446,164993,140793,3,0,UPA
25,2006,West Bengal,Cooch Behar North,NIKHIL ROY,M,35,GEN,IND,,,2359,164993,140793,4,0,Others
26,2006,West Bengal,Cooch Behar North,HARI BALA ROY,M,56,GEN,AMB,,,1439,164993,140793,5,0,Others
27,2006,West Bengal,Cooch Behar West,AKSHAY THAKUR,M,56,GEN,AIFB,,,79273,182783,155336,1,1,LF
28,2006,West Bengal,Cooch Behar West,ABDUL JALIL AHMED,M,51,GEN,AITC,,,52587,182783,155336,2,0,NDA
29,2006,West Bengal,Cooch Behar West,NURUL AMIN CHOUDHURY,M,45,GEN,INC,,,13823,182783,155336,3,0,UPA
30,2006,West Bengal,Cooch Behar West,PARESH CHANDRA DE,M,54,GEN,BSP,,,3288,182783,155336,4,0,UPA
31,2006,West Bengal,Cooch Behar West,NRIPENDRA NARAYAN SINGHA KARJEE,M,55,GEN,IND,,,3222,182783,155336,5,0,Others
32,2006,West Bengal,Cooch Behar West,SAMCHHUL HUDA,M,41,GEN,IND,,,3040,182783,155336,6,0,Others
