id,year,statename,pcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2016,West Bengal,Mekliganj,ARGHYA ROY PRADHAN (BILU),M,44,SC,AITC,,,74823,202689,181034,1,1,Trinamool Alliance
2,2016,West Bengal,Mekliganj,PARESH CHANDRA ADHIKARY,M,63,SC,AIFB,,,68186,202689,181034,2,0,Mahajot
3,2016,West Bengal,Mekliganj,DADHIRAM RAY,M,32,SC,BJP,,,23355,202689,181034,3,0,NDA
4,2016,West Bengal,Mekliganj,JYOTISH ROY,M,66,SC,BSP,,,5650,202689,181034,4,0,Others
5,2016,West Bengal,Mekliganj,None of the Above,NULL,NULL,SC,NOTA,,,2333,202689,181034,5,0,Others
6,2016,West Bengal,Mekliganj,PRAMILA ROY,F,50,SC,SUCI,,,2090,202689,181034,6,0,Others
7,2016,West Bengal,Mekliganj,RATAN BARMAN,M,51,SC,AMB,,,1809,202689,181034,7,0,Others
8,2016,West Bengal,Mekliganj,GOLAPI ROY,F,29,SC,IND,,,955,202689,181034,8,0,Others
9,2016,West Bengal,Mekliganj,DIPEN ROY,M,25,SC,IND,,,914,202689,181034,9,0,Others
10,2016,West Bengal,Mekliganj,BINOD ROY,M,42,SC,KPPU,,,845,202689,181034,10,0,Others
11,2016,West Bengal,Mathabhanga,BINAY KRISHNA BARMAN,M,55,SC,AITC,,,96383,229622,200478,1,1,Trinamool Alliance
12,2016,West Bengal,Mathabhanga,KHAGEN CHANDRA BARMAN,M,53,SC,CPM,,,64465,229622,200478,2,0,Others
13,2016,West Bengal,Mathabhanga,SUSHIL BARMAN,M,48,SC,BJP,,,31258,229622,200478,3,0,NDA
14,2016,West Bengal,Mathabhanga,None of the Above,NULL,NULL,SC,NOTA,,,1980,229622,200478,4,0,Others
15,2016,West Bengal,Mathabhanga,KANGSA RAJ BARMAN,M,47,SC,KPPU,,,1759,229622,200478,5,0,Others
16,2016,West Bengal,Mathabhanga,HAREKRISHNA SARKAR,M,44,SC,IND,,,1353,229622,200478,6,0,Others
17,2016,West Bengal,Mathabhanga,PIYARI MOHON BARMAN,M,46,SC,IND,,,1120,229622,200478,7,0,Others
18,2016,West Bengal,Mathabhanga,NAYAN CHAND BARMAN,M,59,SC,AMB,,,1038,229622,200478,8,0,Others
19,2016,West Bengal,Mathabhanga,MANJULA ROY,F,38,SC,SUCI,,,1029,229622,200478,9,0,Others
20,2016,West Bengal,Cooch Behar Uttar,NAGENDRA NATH ROY,M,59,SC,AIFB,,,97629,258722,224982,1,1,Mahajot
21,2016,West Bengal,Cooch Behar Uttar,PARIMAL BARMAN,M,39,SC,AITC,,,85336,258722,224982,2,0,Trinamool Alliance
22,2016,West Bengal,Cooch Behar Uttar,SUKUMAR ROY,M,48,SC,BJP,,,30025,258722,224982,3,0,NDA
23,2016,West Bengal,Cooch Behar Uttar,None of the Above,NULL,NULL,SC,NOTA,,,2649,258722,224982,4,0,Others
24,2016,West Bengal,Cooch Behar Uttar,PRAFULLA KUMAR DAS,M,56,SC,IND,,,1843,258722,224982,5,0,Others
25,2016,West Bengal,Cooch Behar Uttar,GOPAL ROY,M,56,SC,IND,,,1765,258722,224982,6,0,Others
26,2016,West Bengal,Cooch Behar Uttar,ANILCHANDRA ROY,M,47,SC,SUCI,,,1731,258722,224982,7,0,Others
27,2016,West Bengal,Cooch Behar Uttar,HARIBALA RAY,M,66,SC,AMB,,,1507,258722,224982,8,0,Others
28,2016,West Bengal,Cooch Behar Uttar,NARESH CHANDRA ROY,M,43,SC,IND,,,1286,258722,224982,9,0,Others
29,2016,West Bengal,Cooch Behar Dakshin,MIHIR GOSWAMI,M,62,GEN,AITC,,,82849,213162,179329,1,1,Trinamool Alliance
30,2016,West Bengal,Cooch Behar Dakshin,DEBASIS BANIK,M,58,GEN,AIFB,,,64654,213162,179329,2,0,Mahajot
31,2016,West Bengal,Cooch Behar Dakshin,NIKHIL RANJAN DEY,M,58,GEN,BJP,,,18176,213162,179329,3,0,NDA
32,2016,West Bengal,Cooch Behar Dakshin,MAYA MAJUMDER,F,45,GEN,BSP,,,5197,213162,179329,4,0,Others
33,2016,West Bengal,Cooch Behar Dakshin,AMITA DAS,F,49,GEN,AMB,,,2703,213162,179329,5,0,Others
34,2016,West Bengal,Cooch Behar Dakshin,None of the Above,NULL,NULL,GEN,NOTA,,,2489,213162,179329,6,0,Others
35,2016,West Bengal,Cooch Behar Dakshin,NAZMA KHANDAKAR,F,56,GEN,SUCI,,,1678,213162,179329,7,0,Others
36,2016,West Bengal,Cooch Behar Dakshin,AKIK HOSSAIN CHOWDHURY,M,46,GEN,KPPU,,,1427,213162,179329,8,0,Others
37,2016,West Bengal,Sitalkuchi,HITEN BARMAN,M,66,SC,AITC,,,101647,261348,230125,1,1,Trinamool Alliance
38,2016,West Bengal,Sitalkuchi,NAMADIPTI ADHIKARY,F,48,SC,CPM,,,86164,261348,230125,2,0,Others
39,2016,West Bengal,Sitalkuchi,BAREN CHANDRA BARMAN,M,42,SC,BJP,,,27347,261348,230125,3,0,NDA
40,2016,West Bengal,Sitalkuchi,PREMANANDA BARMAN,M,45,SC,KPPU,,,4953,261348,230125,4,0,Others
41,2016,West Bengal,Sitalkuchi,JAGADISH ADHIKARI,M,49,SC,SUCI,,,2267,261348,230125,5,0,Others
42,2016,West Bengal,Sitalkuchi,GIRINDRA NATH BARMAN,M,73,SC,BSP,,,2235,261348,230125,6,0,Others
43,2016,West Bengal,Sitalkuchi,None of the Above,NULL,NULL,SC,NOTA,,,2106,261348,230125,7,0,Others
44,2016,West Bengal,Sitalkuchi,SUBODH BARMAN,M,59,SC,AMB,,,1838,261348,230125,8,0,Others
45,2016,West Bengal,Sitalkuchi,FULKUMAR BARMAN,M,46,SC,IND,,,1520,261348,230125,9,0,Others
46,2016,West Bengal,Sitai,JAGADISH CHANDRA BARMA BASUNIA,M,52,SC,AITC,,,103410,262565,218300,1,1,Trinamool Alliance
47,2016,West Bengal,Sitai,KESHAB CHANDRA RAY,M,62,SC,INC,,,78159,262565,218300,2,0,Mahajot
48,2016,West Bengal,Sitai,BHABEN CHANDRA RAY,M,53,SC,BJP,,,27809,262565,218300,3,0,NDA
49,2016,West Bengal,Sitai,None of the Above,NULL,NULL,SC,NOTA,,,2476,262565,218300,4,0,Others
50,2016,West Bengal,Sitai,TAPAS BARMAN,M,33,SC,AMB,,,2364,262565,218300,5,0,Others
51,2016,West Bengal,Sitai,MANI MAHANTA,M,56,SC,BSP,,,2359,262565,218300,6,0,Others
52,2016,West Bengal,Sitai,ANIL CHANDRA BARMAN ROY,M,56,SC,SUCI,,,1649,262565,218300,7,0,Others
53,2016,West Bengal,Dinhata,UDAYAN GUHA,M,61,GEN,AITC,,,100732,273294,223783,1,1,Trinamool Alliance
54,2016,West Bengal,Dinhata,AKSHAY THAKUR,M,66,GEN,AIFB,,,78939,273294,223783,2,0,Mahajot
55,2016,West Bengal,Dinhata,SACHINDRA NATH ADHIKARI,M,59,GEN,BJP,,,25598,273294,223783,3,0,NDA
56,2016,West Bengal,Dinhata,DEBENDRA NATH ROY,M,56,GEN,BSP,,,5842,273294,223783,4,0,Others
57,2016,West Bengal,Dinhata,DR. MD. FAZLE HAQUE,M,80,GEN,IND,,,4010,273294,223783,5,0,Others
58,2016,West Bengal,Dinhata,None of the Above,NULL,NULL,GEN,NOTA,,,2619,273294,223783,6,0,Others
59,2016,West Bengal,Dinhata,AMINAL HOQUE,M,38,GEN,WPOI,,,2220,273294,223783,7,0,Others
60,2016,West Bengal,Dinhata,SABITRI BASUNIYA (ROY),F,40,GEN,IND,,,2170,273294,223783,8,0,Others
61,2016,West Bengal,Dinhata,ANITA BARMAN,F,39,GEN,IND,,,777,273294,223783,9,0,Others
62,2016,West Bengal,Dinhata,PRADIP ROY,M,40,GEN,SUCI,,,730,273294,223783,10,0,Others
63,2016,West Bengal,Natabari,RABINDRA NATH GHOSH,M,60,GEN,AITC,,,93257,223747,199713,1,1,Trinamool Alliance
64,2016,West Bengal,Natabari,TAMSER ALI,M,62,GEN,CPM,,,77100,223747,199713,2,0,Others
65,2016,West Bengal,Natabari,ALI HOSSAIN,M,46,GEN,BJP,,,21524,223747,199713,3,0,NDA
66,2016,West Bengal,Natabari,TAPAN BARMAN,M,43,GEN,KPPU,,,3204,223747,199713,4,0,Others
67,2016,West Bengal,Natabari,BABLA DEB,M,27,GEN,AMB,,,1678,223747,199713,5,0,Others
68,2016,West Bengal,Natabari,None of the Above,NULL,NULL,GEN,NOTA,,,1573,223747,199713,6,0,Others
69,2016,West Bengal,Natabari,RABIA SARKAR,F,50,GEN,SUCI,,,1261,223747,199713,7,0,Others
70,2016,West Bengal,Tufanganj,FAZAL KARIM MIAH,M,65,GEN,AITC,,,85052,213560,192472,1,1,Trinamool Alliance
71,2016,West Bengal,Tufanganj,SHYAMAL CHOUDHURY,M,70,GEN,INC,,,69782,213560,192472,2,0,Mahajot
72,2016,West Bengal,Tufanganj,BIVAS SEN ISHORE,M,48,GEN,BJP,,,30048,213560,192472,3,0,NDA
73,2016,West Bengal,Tufanganj,None of the Above,NULL,NULL,GEN,NOTA,,,2498,213560,192472,4,0,Others
74,2016,West Bengal,Tufanganj,MANOJ KUMAR MANDAL,M,39,GEN,IND,,,1958,213560,192472,5,0,Others
75,2016,West Bengal,Tufanganj,NUBASH BARMAN,M,53,GEN,KPPU,,,1744,213560,192472,6,0,Others
76,2016,West Bengal,Tufanganj,SANTANA DATTA,F,52,GEN,SUCI,,,1320,213560,192472,7,0,Others
77,2016,West Bengal,Kumargram,JAMES KUJUR,M,59,ST,AITC,,,77668,243359,208422,1,1,Trinamool Alliance
78,2016,West Bengal,Kumargram,MANOJ KUMAR ORAON,M,35,ST,RSP,,,71515,243359,208422,2,0,Mahajot
79,2016,West Bengal,Kumargram,LEOS KUJUR,M,32,ST,BJP,,,45137,243359,208422,3,0,NDA
80,2016,West Bengal,Kumargram,None of the Above,NULL,NULL,ST,NOTA,,,5874,243359,208422,4,0,Others
81,2016,West Bengal,Kumargram,VINAY KR. MINJ,M,34,ST,JMM,,,3296,243359,208422,5,0,Others
82,2016,West Bengal,Kumargram,ELIASH NARJINARY,M,63,ST,BSP,,,2737,243359,208422,6,0,Others
83,2016,West Bengal,Kumargram,RAM ORAON,M,50,ST,SUCI,,,2179,243359,208422,7,0,Others
84,2016,West Bengal,Kalchini,WILSON CHAMPRAMARY,M,39,ST,AITC,,,62061,218280,177799,1,1,Trinamool Alliance
85,2016,West Bengal,Kalchini,BISHAL LAMA,M,34,ST,BJP,,,60550,218280,177799,2,0,NDA
86,2016,West Bengal,Kalchini,AVIJIT NARJINARY,M,43,ST,INC,,,14220,218280,177799,3,0,Mahajot
87,2016,West Bengal,Kalchini,JOHN PHILIP XALXO,M,61,ST,RSP,,,11905,218280,177799,4,0,Mahajot
88,2016,West Bengal,Kalchini,BISWAJIT MINJ,M,37,ST,IND,,,7458,218280,177799,5,0,Others
89,2016,West Bengal,Kalchini,ATUL SUBA,M,61,ST,IND,,,6514,218280,177799,6,0,Others
90,2016,West Bengal,Kalchini,None of the Above,NULL,NULL,ST,NOTA,,,4524,218280,177799,7,0,Others
91,2016,West Bengal,Kalchini,PANKAJ TIRKEY,M,29,ST,JMM,,,2551,218280,177799,8,0,Others
92,2016,West Bengal,Kalchini,SUJIT MAHALI,M,32,ST,IND,,,2453,218280,177799,9,0,Others
93,2016,West Bengal,Kalchini,RAKESH KIRAN INDWAR,M,35,ST,IND,,,1954,218280,177799,10,0,Others
94,2016,West Bengal,Kalchini,SUKHAN MUNDA,M,36,ST,SUCI,,,1148,218280,177799,11,0,Others
95,2016,West Bengal,Kalchini,JAY BHADRA KARJEE,M,57,ST,IND,,,1087,218280,177799,12,0,Others
96,2016,West Bengal,Kalchini,USHA TAMANG,F,43,ST,IND,,,931,218280,177799,13,0,Others
97,2016,West Bengal,Alipurduars,SOURAV CHAKRABORTY(GHUTISH),M,43,GEN,AITC,,,89695,236134,203630,1,1,Trinamool Alliance
98,2016,West Bengal,Alipurduars,BISWA RANJAN SARKAR,M,67,GEN,INC,,,77737,236134,203630,2,0,Mahajot
99,2016,West Bengal,Alipurduars,KUSHAL CHATTERJEE (TATU),M,39,GEN,BJP,,,20098,236134,203630,3,0,NDA
100,2016,West Bengal,Alipurduars,NIRMAL DAS,M,72,GEN,RSP,,,7324,236134,203630,4,0,Mahajot
101,2016,West Bengal,Alipurduars,None of the Above,NULL,NULL,GEN,NOTA,,,2980,236134,203630,5,0,Others
102,2016,West Bengal,Alipurduars,ALOKESH DAS,M,41,GEN,SUCI,,,2308,236134,203630,6,0,Others
103,2016,West Bengal,Alipurduars,DALENDRA NATH RAY,M,62,GEN,AMB,,,1341,236134,203630,7,0,Others
104,2016,West Bengal,Alipurduars,SANTOSH KUMAR BALO,M,60,GEN,IND,,,989,236134,203630,8,0,Others
105,2016,West Bengal,Alipurduars,GOURI ROY,F,31,GEN,BSP,,,974,236134,203630,9,0,Others
106,2016,West Bengal,Falakata,ANIL ADHIKARI,M,66,SC,AITC,,,86647,227176,197944,1,1,Trinamool Alliance
107,2016,West Bengal,Falakata,KSHITISH CHANDRA RAY,M,45,SC,CPM,,,69808,227176,197944,2,0,Others
108,2016,West Bengal,Falakata,NARAYAN CHANDRA MONDAL,M,46,SC,BJP,,,30639,227176,197944,3,0,NDA
109,2016,West Bengal,Falakata,None of the Above,NULL,NULL,SC,NOTA,,,3812,227176,197944,4,0,Others
110,2016,West Bengal,Falakata,BISHNUPADA ROY,M,36,SC,IND,,,3007,227176,197944,5,0,Others
111,2016,West Bengal,Falakata,PARITOSH CH. ROY,M,45,SC,IND,,,2016,227176,197944,6,0,Others
112,2016,West Bengal,Falakata,TARANI ROY,M,58,SC,SUCI,,,1344,227176,197944,7,0,Others
113,2016,West Bengal,Falakata,NARESH CHANDRA BARMAN,M,66,SC,IND,,,667,227176,197944,8,0,Others
114,2016,West Bengal,Madarihat,MANOJ TIGGA,M,43,ST,BJP,,,66989,191686,152306,1,1,NDA
115,2016,West Bengal,Madarihat,PADAM LAMA,M,54,ST,AITC,,,44951,191686,152306,2,0,Trinamool Alliance
116,2016,West Bengal,Madarihat,KUMARI KUJUR,F,67,ST,RSP,,,29885,191686,152306,3,0,Mahajot
117,2016,West Bengal,Madarihat,None of the Above,NULL,NULL,ST,NOTA,,,5068,191686,152306,4,0,Others
118,2016,West Bengal,Madarihat,PADAM ORAON,M,37,ST,JMM,,,3089,191686,152306,5,0,Others
119,2016,West Bengal,Madarihat,SUDHIST BARAIK,M,39,ST,SUCI,,,2319,191686,152306,6,0,Others
120,2016,West Bengal,Dhupguri,MITALI ROY,F,43,SC,AITC,,,90781,237427,208947,1,1,Trinamool Alliance
121,2016,West Bengal,Dhupguri,MAMATA ROY,F,49,SC,CPM,,,71517,237427,208947,2,0,Others
122,2016,West Bengal,Dhupguri,AGUN ROY,M,36,SC,BJP,,,36167,237427,208947,3,0,NDA
123,2016,West Bengal,Dhupguri,None of the Above,NULL,NULL,SC,NOTA,,,3262,237427,208947,4,0,Others
124,2016,West Bengal,Dhupguri,MADHUSUDAN ROY,M,40,SC,KPPU,,,2644,237427,208947,5,0,Others
125,2016,West Bengal,Dhupguri,NIRANJAN ROY,M,37,SC,SUCI,,,2361,237427,208947,6,0,Others
126,2016,West Bengal,Dhupguri,BEDDYUTI ROY,M,47,SC,BSP,,,2002,237427,208947,7,0,Others
127,2016,West Bengal,Maynaguri,ANANTA DEB ADHIKARI,M,64,SC,AITC,,,100837,236663,210916,1,1,Trinamool Alliance
128,2016,West Bengal,Maynaguri,CHHAYA DEY (ROY),F,58,SC,RSP,,,65930,236663,210916,2,0,Mahajot
129,2016,West Bengal,Maynaguri,BISWAJIT ROY,M,37,SC,BJP,,,30742,236663,210916,3,0,NDA
130,2016,West Bengal,Maynaguri,None of the Above,NULL,NULL,SC,NOTA,,,4368,236663,210916,4,0,Others
131,2016,West Bengal,Maynaguri,KAUSIK ROY,M,30,SC,KPPU,,,3856,236663,210916,5,0,Others
132,2016,West Bengal,Maynaguri,AMIT KUMAR SARKAR,M,26,SC,BSP,,,1818,236663,210916,6,0,Others
133,2016,West Bengal,Maynaguri,RUPESWAR RAY,M,56,SC,CPI(ML)(L),,,1701,236663,210916,7,0,Others
134,2016,West Bengal,Maynaguri,BINAY SARKAR,M,45,SC,AMB,,,1476,236663,210916,8,0,Others
135,2016,West Bengal,Jalpaiguri,SUKHBILAS BARMA,M,70,SC,INC,,,94553,241740,208635,1,1,Mahajot
136,2016,West Bengal,Jalpaiguri,DHARTTIMOHAN ROY,M,59,SC,AITC,,,89396,241740,208635,2,0,Trinamool Alliance
137,2016,West Bengal,Jalpaiguri,TAPAN ROY,M,46,SC,BJP,,,16029,241740,208635,3,0,NDA
138,2016,West Bengal,Jalpaiguri,None of the Above,NULL,NULL,SC,NOTA,,,3383,241740,208635,4,0,Others
139,2016,West Bengal,Jalpaiguri,HARIBHAKTA SARDAR,M,61,SC,SUCI,,,2586,241740,208635,5,0,Others
140,2016,West Bengal,Jalpaiguri,GANESH MANDAL,M,49,SC,BSP,,,2269,241740,208635,6,0,Others
141,2016,West Bengal,Rajganj,KHAGESWAR ROY,M,65,SC,AITC,,,89785,216425,194806,1,1,Trinamool Alliance
142,2016,West Bengal,Rajganj,SATYENDRA NATH MONDAL,M,53,SC,CPM,,,75108,216425,194806,2,0,Others
143,2016,West Bengal,Rajganj,PRAKASH CHANDRA ROY,M,29,SC,BJP,,,17811,216425,194806,3,0,NDA
144,2016,West Bengal,Rajganj,None of the Above,NULL,NULL,SC,NOTA,,,3525,216425,194806,4,0,Others
145,2016,West Bengal,Rajganj,HRIDAY ROY,M,37,SC,KPPU,,,3471,216425,194806,5,0,Others
146,2016,West Bengal,Rajganj,ARUN BARMAN,M,57,SC,SUCI,,,3027,216425,194806,6,0,Others
147,2016,West Bengal,Rajganj,RAJAT ROY,M,30,SC,BSP,,,1804,216425,194806,7,0,Others
148,2016,West Bengal,Dabgram-Fulbari,GOUTAM DEB,M,59,GEN,AITC,,,105769,260690,222989,1,1,Trinamool Alliance
149,2016,West Bengal,Dabgram-Fulbari,DILIP SINGH,M,49,GEN,CPM,,,81958,260690,222989,2,0,Others
150,2016,West Bengal,Dabgram-Fulbari,RATHINDRA BOSE (RATHIN),M,56,GEN,BJP,,,26195,260690,222989,3,0,NDA
151,2016,West Bengal,Dabgram-Fulbari,None of the Above,NULL,NULL,GEN,NOTA,,,3283,260690,222989,4,0,Others
152,2016,West Bengal,Dabgram-Fulbari,SUBHAS BISWAS,M,63,GEN,IND,,,2180,260690,222989,5,0,Others
153,2016,West Bengal,Dabgram-Fulbari,SANJIBAN SARKAR,M,46,GEN,BSP,,,1409,260690,222989,6,0,Others
154,2016,West Bengal,Dabgram-Fulbari,ABUL KASHEM,M,51,GEN,SUCI,,,1017,260690,222989,7,0,Others
155,2016,West Bengal,Dabgram-Fulbari,DULAL SARKAR,M,45,GEN,AMB,,,914,260690,222989,8,0,Others
156,2016,West Bengal,Mal,BULU CHIK BARAIK,M,57,ST,AITC,,,84877,227471,191672,1,1,Trinamool Alliance
157,2016,West Bengal,Mal,AUGUSTUS KERKETTA,M,46,ST,CPM,,,66415,227471,191672,2,0,Others
158,2016,West Bengal,Mal,MAHESH BAGE,M,35,ST,BJP,,,29380,227471,191672,3,0,NDA
159,2016,West Bengal,Mal,None of the Above,NULL,NULL,ST,NOTA,,,4273,227471,191672,4,0,Others
160,2016,West Bengal,Mal,ANJALI MALO,F,54,ST,BSP,,,4168,227471,191672,5,0,Others
161,2016,West Bengal,Mal,JYOTISH MINJ,M,35,ST,SUCI,,,2553,227471,191672,6,0,Others
162,2016,West Bengal,Nagrakata,SUKRA MUNDA,M,44,ST,AITC,,,57306,213862,176552,1,1,Trinamool Alliance
163,2016,West Bengal,Nagrakata,JOSEPH MUNDA,M,46,ST,INC,,,54078,213862,176552,2,0,Mahajot
164,2016,West Bengal,Nagrakata,JOHN BARLA,M,41,ST,BJP,,,47836,213862,176552,3,0,NDA
165,2016,West Bengal,Nagrakata,None of the Above,NULL,NULL,ST,NOTA,,,6196,213862,176552,4,0,Others
166,2016,West Bengal,Nagrakata,GANESH LAMA,M,39,ST,ABGL,,,3855,213862,176552,5,0,Others
167,2016,West Bengal,Nagrakata,INDAR DEO ORAON,M,37,ST,IND,,,3829,213862,176552,6,0,Others
168,2016,West Bengal,Nagrakata,PAWAN KUMAR KHERWAR,M,48,ST,IND,,,3442,213862,176552,7,0,Others
169,2016,West Bengal,Kalimpong,SARITA RAI,F,57,GEN,GOJAM,,,67693,193742,138434,1,1,NDA
170,2016,West Bengal,Kalimpong,HARKA BAHADUR CHETTRI,M,58,GEN,IND,,,56262,193742,138434,2,0,Others
171,2016,West Bengal,Kalimpong,KISHORE PRADHAN,M,49,GEN,IND,,,5714,193742,138434,3,0,Others
172,2016,West Bengal,Kalimpong,None of the Above,NULL,NULL,GEN,NOTA,,,3364,193742,138434,4,0,Others
173,2016,West Bengal,Kalimpong,AMAR LOKSOM,M,47,GEN,grac,,,3201,193742,138434,5,0,Others
174,2016,West Bengal,Kalimpong,BHRIGU NATH GUPTA,M,42,GEN,IND,,,1751,193742,138434,6,0,Others
175,2016,West Bengal,Darjeeling,AMAR SINGH RAI,M,68,GEN,GOJAM,,,95386,237470,159421,1,1,NDA
176,2016,West Bengal,Darjeeling,SARDA RAI SUBBA,F,50,GEN,AITC,,,45473,237470,159421,2,0,Trinamool Alliance
177,2016,West Bengal,Darjeeling,GOVIND CHETTRI,M,56,GEN,IND,,,8982,237470,159421,3,0,Others
178,2016,West Bengal,Darjeeling,None of the Above,NULL,NULL,GEN,NOTA,,,5817,237470,159421,4,0,Others
179,2016,West Bengal,Darjeeling,ASHOK KUMAR LEPCHA,M,66,GEN,grac,,,3716,237470,159421,5,0,Others
180,2016,West Bengal,Kurseong,ROHIT SHARMA,M,61,GEN,GOJAM,,,86947,225802,164595,1,1,NDA
181,2016,West Bengal,Kurseong,SHANTA CHHETRI,F,59,GEN,AITC,,,53221,225802,164595,2,0,Trinamool Alliance
182,2016,West Bengal,Kurseong,ARUN KUMAR GHATANI,M,45,GEN,IND,,,12219,225802,164595,3,0,Others
183,2016,West Bengal,Kurseong,None of the Above,NULL,NULL,GEN,NOTA,,,7426,225802,164595,4,0,Others
184,2016,West Bengal,Kurseong,DHURBA DEWAN,M,48,GEN,grac,,,4160,225802,164595,5,0,Others
185,2016,West Bengal,Matigara-naxalbari,SANKAR MALAKAR,M,61,SC,INC,,,86441,249408,209384,1,1,Mahajot
186,2016,West Bengal,Matigara-naxalbari,AMAR SINHA,M,57,SC,AITC,,,67814,249408,209384,2,0,Trinamool Alliance
187,2016,West Bengal,Matigara-naxalbari,ANANDAMOY BARMAN,M,33,SC,BJP,,,44625,249408,209384,3,0,NDA
188,2016,West Bengal,Matigara-naxalbari,None of the Above,NULL,NULL,SC,NOTA,,,3307,249408,209384,4,0,Others
189,2016,West Bengal,Matigara-naxalbari,BIDUR BARMAN,M,56,SC,KPPU,,,2464,249408,209384,5,0,Others
190,2016,West Bengal,Matigara-naxalbari,SUDIP MANDAL,M,37,SC,BSP,,,1849,249408,209384,6,0,Others
191,2016,West Bengal,Matigara-naxalbari,GOUTAM KIRTANIA,M,46,SC,IND,,,1739,249408,209384,7,0,Others
192,2016,West Bengal,Matigara-naxalbari,KSHITISH CHANDRA ROY,M,66,SC,SUCI,,,1138,249408,209384,8,0,Others
193,2016,West Bengal,Siliguri,ASOK BHATTACHARYA,M,66,GEN,CPM,,,78054,208719,168617,1,1,Others
194,2016,West Bengal,Siliguri,BHAICHUNG BHUTIA,M,40,GEN,AITC,,,63982,208719,168617,2,0,Trinamool Alliance
195,2016,West Bengal,Siliguri,GITA CHATTERJEE,F,75,GEN,BJP,,,19300,208719,168617,3,0,NDA
196,2016,West Bengal,Siliguri,None of the Above,NULL,NULL,GEN,NOTA,,,2877,208719,168617,4,0,Others
197,2016,West Bengal,Siliguri,RABINDRA RAI,M,36,GEN,grac,,,924,208719,168617,5,0,Others
198,2016,West Bengal,Siliguri,HARIDAS THAKUR,M,68,GEN,BSP,,,832,208719,168617,6,0,Others
199,2016,West Bengal,Siliguri,MAHENDRA KUMAR JAIN,M,36,GEN,JMM,,,618,208719,168617,7,0,Others
200,2016,West Bengal,Siliguri,MD. ZAFAR EQBAL,M,30,GEN,IND,,,499,208719,168617,8,0,Others
201,2016,West Bengal,Siliguri,VISHWJEET CHATTERJI,M,56,GEN,AMB,,,491,208719,168617,9,0,Others
202,2016,West Bengal,Siliguri,TANMAY DUTTA,M,50,GEN,SUCI,,,439,208719,168617,10,0,Others
203,2016,West Bengal,Siliguri,DASARATH KARMAKAR,M,66,GEN,ABHM,,,334,208719,168617,11,0,Others
204,2016,West Bengal,Phansidewa,SUNIL CHANDRA TIRKEY,M,67,ST,INC,,,73158,206362,181406,1,1,Mahajot
205,2016,West Bengal,Phansidewa,CAROLUS LAKRA,M,55,ST,AITC,,,66084,206362,181406,2,0,Trinamool Alliance
206,2016,West Bengal,Phansidewa,DURGA MURMU,M,37,ST,BJP,,,32894,206362,181406,3,0,NDA
